Date,Daily Mean Air Temperature,Rainfall (24 hour total),Daily Mean Pressure (hPa),Daily Mean Wind Speed,Daily Mean Windspeed (Beaufort conversion)
01/05/1987,13.7,6.0,1016,4.0,Light
02/05/1987,12.7,0.1,1018,4.5,Light
03/05/1987,17.0,0.0,1018,7.5,Light
04/05/1987,17.0,0.0,1016,8.0,Light
05/05/1987,19.8,0.0,1012,3.5,Light
06/05/1987,21.0,0.0,1007,9.5,Light
07/05/1987,21.5,0.0,1010,5.5,Light
08/05/1987,21.6,0.0,1012,8.5,Light
09/05/1987,21.2,0.0,1015,4.5,Light
10/05/1987,20.7,0.0,1015,6.5,Light
11/05/1987,21.6,0.0,1011,5.5,Light
12/05/1987,22.1,0.0,1014,6.0,Light
13/05/1987,17.6,0.0,1019,9.0,Light
14/05/1987,20.3,0.0,1008,7.5,Light
15/05/1987,21.3,4.0,1003,6.5,Light
16/05/1987,15.6,0.0,1012,10.0,Light
17/05/1987,17.6,0.0,1008,5.0,Light
18/05/1987,15.8,0.0,1005,2.5,Light
19/05/1987,22.2,0.0,1012,6.0,Light
20/05/1987,22.1,0.0,1009,4.5,Light
21/05/1987,23.8,6.0,1004,5.0,Light
22/05/1987,19.0,1.0,1001,3.0,Light
23/05/1987,21.2,0.0,1005,6.5,Light
24/05/1987,19.3,20.7,1010,3.0,Light
25/05/1987,20.7,0.0,1015,4.0,Light
26/05/1987,23.0,0.0,1017,6.5,Light
27/05/1987,22.8,0.0,1017,4.5,Light
28/05/1987,21.1,0.0,1011,4.0,Light
29/05/1987,23.4,0.0,1008,5.0,Light
30/05/1987,20.8,4.0,1009,3.0,Light
31/05/1987,18.9,23.7,1009,3.0,Light
01/06/1987,20.2,0.0,1006,3.3,Light
02/06/1987,21.7,0.0,1000,2.0,Light
03/06/1987,24.7,0.0,1001,5.0,Light
04/06/1987,27.7,0.0,1001,3.5,Light
05/06/1987,16.1,31.0,1014,12.5,Moderate
06/06/1987,17.9,0.0,1015,5.5,Light
07/06/1987,23.4,0.0,1011,5.0,Light
08/06/1987,24.3,0.0,1009,4.0,Light
09/06/1987,24.9,0.0,1007,4.5,Light
10/06/1987,24.7,0.0,1009,6.0,Light
11/06/1987,22.8,0.0,1009,3.5,Light
12/06/1987,26.0,0.0,1007,7.0,Light
13/06/1987,24.2,0.0,1010,7.5,Light
14/06/1987,23.0,0.0,1010,6.5,Light
15/06/1987,25.0,0.0,1008,4.5,Light
16/06/1987,24.6,0.0,1008,5.0,Light
17/06/1987,24.6,9.0,1008,4.0,Light
18/06/1987,20.9,14.3,1009,4.0,Light
19/06/1987,24.9,0.0,1006,0.5,Light
20/06/1987,26.3,0.0,1008,5.5,Light
21/06/1987,26.1,0.0,1010,6.0,Light
22/06/1987,22.3,15.7,1005,3.5,Light
23/06/1987,20.6,19.0,1003,3.5,Light
24/06/1987,23.5,0.0,1004,5.0,Light
25/06/1987,23.5,0.0,1005,0.5,Light
26/06/1987,24.1,2.0,1007,4.5,Light
27/06/1987,23.9,0.3,1010,6.5,Light
28/06/1987,22.4,1.0,1007,3.5,Light
29/06/1987,23.2,0.0,1004,5.0,Light
30/06/1987,23.0,0.0,1008,6.0,Light
01/07/1987,23.8,0.0,1007,4.0,Light
02/07/1987,22.1,0.2,1004,3.3,Light
03/07/1987,26.0,0.0,1001,7.0,Light
04/07/1987,26.4,1.0,999,4.0,Light
05/07/1987,25.8,0.0,1000,6.0,Light
06/07/1987,25.7,0.0,1004,3.5,Light
