Date,Daily Mean Temperature (0900-0900) (°C),Daily Total Rainfall (0900-0900) (mm),Daily Total Sunshine (0000-2400) (hrs),Daily Mean Windspeed (0000-2400) (kn),Daily Mean Windspeed (0000-2400) (Beaufort conversion),Daily Maximum Gust (0000-2400) (kn),Daily Maximum Relative Humidity,Daily Mean Total Cloud (oktas),Daily Mean Visibility (Dm),Daily Mean Pressure (hPa),Daily Mean Wind Direction (o),Cardinal Direction,Daily Max Gust Corresponding Direction (o),Cardinal Direction
01/05/1987,14.6,1.6,n/a,n/a,n/a,n/a,96,7,1300,1017,210,SSW,230,SW
02/05/1987,8.8,1.9,n/a,n/a,n/a,n/a,97,4,2500,1014,250,WSW,290,WNW
03/05/1987,7.2,2.2,n/a,n/a,n/a,n/a,91,5,2100,1023,340,NNW,330,NNW
04/05/1987,7.3,0,n/a,n/a,n/a,n/a,82,2,2800,1032,350,N,10,N
05/05/1987,10.1,0,n/a,n/a,n/a,n/a,76,7,2400,1033,330,NNW,20,NNE
06/05/1987,11.9,0,n/a,n/a,n/a,n/a,94,4,1100,1032,320,NW,290,WNW
07/05/1987,12.2,0,n/a,n/a,n/a,n/a,91,2,1900,1031,20,NNE,30,NNE
08/05/1987,12.1,0,n/a,n/a,n/a,n/a,95,0,1300,1026,180,S,190,S
09/05/1987,15.2,0,n/a,n/a,n/a,n/a,93,3,1200,1016,0,N,220,SW
10/05/1987,11.1,tr,n/a,n/a,n/a,n/a,77,5,3200,1015,320,NW,350,N
11/05/1987,10.6,2.5,n/a,n/a,n/a,n/a,96,7,1900,1011,240,WSW,220,SW
12/05/1987,12.7,2.8,n/a,n/a,n/a,n/a,95,6,1900,1002,290,WNW,310,NW
13/05/1987,8.9,9.9,n/a,n/a,n/a,n/a,94,4,2300,1011,280,W,290,WNW
14/05/1987,10.0,5.2,n/a,n/a,n/a,n/a,96,7,2000,1002,310,NW,240,WSW
15/05/1987,9.5,0.3,n/a,n/a,n/a,n/a,91,6,1500,1008,330,NNW,310,NW
16/05/1987,9.3,tr,n/a,n/a,n/a,n/a,92,6,2100,1014,270,W,190,S
17/05/1987,10.9,4.7,n/a,n/a,n/a,n/a,96,8,2200,1012,210,SSW,200,SSW
18/05/1987,10.7,2.2,1.2,7,Light,21,97,8,1100,1012,360,N,360,N
19/05/1987,11.9,0,7.4,6,Light,23,91,5,1600,1022,360,N,360,N
20/05/1987,9.5,0.1,10,6,Light,20,81,5,2600,1030,350,N,360,N
21/05/1987,10.4,0.1,3.6,8,Light,27,86,6,2200,1026,350,N,350,N
22/05/1987,9.7,5.9,2.6,8,Light,23,88,6,1600,1021,30,NNE,50,NE
23/05/1987,9.8,2.5,0,5,Light,14,92,8,1000,1020,40,NE,40,NE
24/05/1987,13.1,0,5.9,9,Light,21,92,6,1300,1017,80,E,90,E
25/05/1987,12.6,0,0.9,3,Light,13,89,6,800,1019,70,ENE,60,ENE
26/05/1987,15.9,0.3,5.1,7,Light,24,95,7,800,1016,50,NE,90,E
27/05/1987,14.9,0,12.3,5,Light,12,82,7,2000,1015,20,NNE,90,E
28/05/1987,13.5,tr,3.4,4,Light,15,93,6,700,1018,270,W,320,NW
29/05/1987,14.2,0,10.4,6,Light,16,93,5,2400,1023,290,WNW,270,W
30/05/1987,16.8,11.9,5.8,8,Light,26,94,7,2900,1021,220,SW,210,SSW
31/05/1987,16.2,0,7.9,5,Light,19,99,6,2000,1019,250,WSW,260,W
01/06/1987,15.4,tr,7.7,6,Light,18,91,7,2300,1021,250,WSW,240,WSW
02/06/1987,13.7,3.7,0,6,Light,20,96,8,1200,1016,180,S,210,SSW
03/06/1987,14.8,0.3,2.7,7,Light,21,93,7,2000,1007,210,SSW,270,W
04/06/1987,15.5,13.2,6.7,5,Light,23,96,6,1800,1005,210,SSW,340,NNW
05/06/1987,11.7,6.5,0,7,Light,23,96,7,1000,1009,130,SE,170,S
06/06/1987,14.2,tr,7.8,15,Moderate,40,95,6,2400,1003,210,SSW,190,S
07/06/1987,14.0,2.2,4.9,9,Light,28,81,6,3600,1004,230,SW,200,SSW
08/06/1987,12.1,4.2,0.3,4,Light,15,95,8,1600,1004,270,W,270,W
09/06/1987,11.3,1.9,0.2,3,Light,16,97,7,900,1004,40,NE,250,WSW
10/06/1987,11.3,2.8,8.7,4,Light,20,99,6,2600,1007,180,S,150,SSE
11/06/1987,13.9,3.6,3.3,3,Light,14,97,7,1000,1013,290,WNW,280,W
12/06/1987,12.5,tr,8.7,3,Light,12,97,4,1900,1018,270,W,240,WSW
13/06/1987,13.0,tr,6,4,Light,16,92,5,1300,1014,350,N,310,NW
14/06/1987,13.9,0.3,5.5,4,Light,14,92,6,2400,1012,120,ESE,160,SSE
15/06/1987,12.2,tr,4.2,5,Light,21,97,6,1200,1011,20,NNE,50,NE
16/06/1987,11.7,5.5,10.3,5,Light,21,91,5,2300,1018,320,NW,280,W
17/06/1987,12.6,3.6,2.8,5,Light,21,97,7,1600,1016,320,NW,350,N
18/06/1987,13.5,7.3,2.6,5,Light,18,96,6,2100,1013,250,WSW,190,S
19/06/1987,13.8,1.7,0.1,8,Light,26,99,8,1300,1000,350,N,340,NNW
20/06/1987,14.4,2.8,8.7,5,Light,20,92,5,1900,1012,240,WSW,350,N
21/06/1987,14.9,tr,4.6,4,Light,15,97,6,2800,1017,210,SSW,260,W
22/06/1987,13.2,3.8,2.9,5,Light,18,96,7,1500,1020,240,WSW,280,W
23/06/1987,15.8,0.2,0.1,4,Light,15,100,7,1000,1021,260,W,250,WSW
24/06/1987,15.5,1.5,8,6,Light,21,96,5,2200,1020,300,WNW,320,NW
25/06/1987,14.4,4.5,0.2,6,Light,18,95,7,1300,1016,210,SSW,210,SSW
26/06/1987,16.7,0.3,3.6,6,Light,16,95,7,2200,1013,230,SW,260,W
27/06/1987,17.9,tr,0.1,8,Light,16,96,8,2100,1015,200,SSW,250,WSW
28/06/1987,21.0,tr,2.5,9,Light,21,96,7,2600,1021,200,SSW,210,SSW
29/06/1987,23.2,0,9.4,6,Light,17,95,5,2200,1021,200,SSW,200,SSW
30/06/1987,20.9,0,10.3,6,Light,19,88,5,4000,1021,270,W,270,W
01/07/1987,16.1,0,10.6,5,Light,16,90,5,3400,1023,280,W,270,W
02/07/1987,16.6,0,9.5,5,Light,14,84,6,2400,1026,360,N,110,ESE
03/07/1987,18.0,0,13.3,5,Light,16,92,3,1800,1027,90,E,140,SE
04/07/1987,19.1,0,14.6,4,Light,16,81,2,2600,1026,90,E,120,ESE
05/07/1987,20.5,0,15.1,6,Light,20,80,1,2200,1023,90,E,90,E
06/07/1987,21.8,0,6.2,3,Light,10,80,5,800,1018,350,N,180,S
07/07/1987,20.8,0,8.4,6,Light,17,82,6,1900,1018,340,NNW,330,NNW
08/07/1987,17.9,0,13.3,5,Light,14,81,3,2000,1021,320,NW,330,NNW
09/07/1987,17.7,0,10.1,5,Light,17,69,5,3700,1023,330,NNW,340,NNW
10/07/1987,21.3,0,3.9,7,Light,23,77,5,3700,1021,210,SSW,200,SSW
11/07/1987,20.6,0,7,8,Light,28,80,6,3400,1015,270,W,260,W
12/07/1987,17.2,0,9.6,4,Light,15,94,4,3500,1018,260,W,240,WSW
13/07/1987,19.5,0,7.8,5,Light,17,90,4,2200,1019,180,S,180,S
14/07/1987,20.4,6.3,0.6,8,Light,23,77,7,1100,1015,90,E,100,E
15/07/1987,19.7,6.5,2.7,8,Light,25,96,7,1900,1009,210,SSW,180,S
16/07/1987,16.4,5.1,1.9,3,Light,20,99,7,2400,1004,170,S,160,SSE
17/07/1987,14.6,4.7,0,3,Light,10,98,8,1200,997,320,NW,230,SW
18/07/1987,15.1,15.9,0,4,Light,17,95,8,1400,1000,180,S,180,S
19/07/1987,15.3,12.7,0.6,8,Light,24,99,8,1100,1000,120,ESE,130,SE
20/07/1987,17.1,0.7,2.6,9,Light,31,99,7,1200,1010,10,N,360,N
21/07/1987,14.4,3.2,0,7,Light,19,96,8,900,1016,320,NW,320,NW
22/07/1987,15.6,0.1,0,8,Light,20,95,8,800,1019,10,N,360,N
23/07/1987,14.2,0.3,0,5,Light,15,94,8,800,1021,360,N,360,N
24/07/1987,15.4,0.3,0.1,4,Light,13,98,7,700,1021,320,NW,280,W
25/07/1987,14.2,tr,5.5,5,Light,16,87,5,2900,1021,360,N,350,N
26/07/1987,14.5,1.4,10.2,7,Light,21,95,5,3100,1021,270,W,210,SSW
27/07/1987,17.4,0.4,8.9,9,Light,28,95,6,2900,1015,320,NW,320,NW
28/07/1987,17.4,9.2,4.5,4,Light,16,88,6,2500,1017,270,W,250,WSW
29/07/1987,18.7,8.8,2.2,6,Light,25,96,7,1500,1011,220,SW,270,W
30/07/1987,16.6,1.7,0.2,5,Light,13,97,7,800,1017,320,NW,320,NW
31/07/1987,19.8,tr,6.7,7,Light,26,99,6,1900,1016,270,W,250,WSW
01/08/1987,17.5,4.5,7.4,7,Light,22,87,7,3600,1016,280,W,250,WSW
02/08/1987,17.4,0.4,2.1,5,Light,19,99,7,2400,1012,270,W,250,WSW
03/08/1987,16.9,0.6,6.4,4,Light,20,97,6,3300,1013,320,NW,300,WNW
04/08/1987,14.4,tr,9.4,4,Light,17,84,3,3000,1020,320,NW,340,NNW
05/08/1987,14.2,tr,7.7,3,Light,14,92,5,2500,1023,20,NNE,350,N
06/08/1987,14.5,0,10.6,3,Light,14,93,3,1500,1016,290,WNW,320,NW
07/08/1987,14.5,0,7.7,6,Light,23,91,5,2700,1011,270,W,240,WSW
08/08/1987,14.4,0,0.2,5,Light,16,82,7,2900,1014,250,WSW,210,SSW
09/08/1987,16.4,0.9,1.5,3,Light,13,91,7,2200,1015,260,W,330,NNW
10/08/1987,15.3,0,8.2,3,Light,14,100,4,1000,1020,210,SSW,190,S
11/08/1987,14.6,1.6,4.4,4,Light,19,96,6,1700,1019,180,S,180,S
12/08/1987,16.8,tr,1.6,5,Light,17,91,7,1600,1017,210,SSW,200,SSW
13/08/1987,19.2,tr,0.6,6,Light,20,97,7,1600,1013,210,SSW,270,W
14/08/1987,18.0,0,8.3,5,Light,20,97,6,2100,1015,270,W,230,SW
15/08/1987,19.5,0,13.1,5,Light,21,94,3,3500,1020,270,W,200,SSW
16/08/1987,20.9,0.1,12.7,4,Light,17,78,1,3600,1018,200,SSW,210,SSW
17/08/1987,20.2,1,0.4,2,Light,8,92,7,900,1014,200,SSW,200,SSW
18/08/1987,19.8,0,3.1,5,Light,18,100,6,1500,1015,250,WSW,250,WSW
19/08/1987,19.0,0,6.6,5,Light,23,92,5,2800,1020,210,SSW,180,S
20/08/1987,22.0,0,12.7,7,Light,25,91,3,2700,1018,180,S,200,SSW
21/08/1987,23.5,5.3,7.7,4,Light,19,90,5,1600,1013,210,SSW,140,SE
22/08/1987,21.0,24.7,3.4,6,Light,22,98,6,1200,1008,210,SSW,120,ESE
23/08/1987,17.3,tr,9.4,5,Light,24,95,3,1800,1008,210,SSW,160,SSE
24/08/1987,16.2,7.1,2.2,6,Light,22,97,6,900,1011,350,N,10,N
