Date,Daily Mean Temperature (0900-0900) (°C),Daily Total Rainfall (0900-0900) (mm),Daily Total Sunshine (0000-2400) (hrs),Daily Mean Windspeed (0000-2400) (kn),Daily Mean Windspeed (0000-2400) (Beaufort conversion),Daily Maximum Gust (0000-2400) (kn),Daily Maximum Relative Humidity,Daily Mean Total Cloud (oktas),Daily Mean Visibility (Dm),Daily Mean Pressure (hPa),Daily Mean Wind Direction (o),Cardinal Direction,Daily Max Gust Corresponding Direction (o),Cardinal Direction
01/05/1987,12.4,0.3,n/a,n/a,n/a,n/a,98,8,800,1017,230,SW,220,SW
02/05/1987,8.3,0.1,n/a,n/a,n/a,n/a,93,3,2300,1016,300,WNW,290,WNW
03/05/1987,8.2,tr,n/a,n/a,n/a,n/a,85,4,3000,1025,350,N,10,N
04/05/1987,6.7,0,n/a,n/a,n/a,n/a,84,3,2500,1033,10,N,20,NNE
05/05/1987,10.5,0,n/a,n/a,n/a,n/a,78,7,1600,1033,10,N,350,N
06/05/1987,10.8,0,n/a,n/a,n/a,n/a,95,3,800,1032,360,N,30,NNE
07/05/1987,11.1,0,n/a,n/a,n/a,n/a,95,2,1800,1031,50,NE,20,NNE
08/05/1987,8.1,0,n/a,n/a,n/a,n/a,95,3,1100,1026,180,S,170,S
09/05/1987,9.7,0,n/a,n/a,n/a,n/a,96,2,1000,1016,340,NNW,10,N
10/05/1987,10.3,0,n/a,n/a,n/a,n/a,86,4,2400,1016,360,N,320,NW
11/05/1987,8.6,0.2,n/a,n/a,n/a,n/a,93,7,2400,1013,260,W,260,W
12/05/1987,13.0,0.3,n/a,n/a,n/a,n/a,92,6,2900,1004,310,NW,320,NW
13/05/1987,8.6,5,n/a,n/a,n/a,n/a,93,5,3500,1012,310,NW,310,NW
14/05/1987,9.8,0.6,n/a,n/a,n/a,n/a,96,7,2300,1004,310,NW,300,WNW
15/05/1987,9.8,0.9,n/a,n/a,n/a,n/a,90,5,1900,1009,350,N,330,NNW
16/05/1987,7.9,tr,n/a,n/a,n/a,n/a,98,5,2200,1015,240,WSW,210,SSW
17/05/1987,9.9,1.4,n/a,n/a,n/a,n/a,95,8,1800,1013,230,SW,230,SW
18/05/1987,10.6,tr,1.8,11,Moderate,25,93,8,1100,1012,20,NNE,10,N
19/05/1987,11.1,0,13,7,Light,16,95,4,1300,1022,20,NNE,20,NNE
20/05/1987,11.6,tr,7,5,Light,16,95,5,2000,1030,360,N,330,NNW
21/05/1987,9.4,0,7.1,8,Light,24,97,4,2100,1027,350,N,330,NNW
22/05/1987,7.7,3.7,5.9,8,Light,27,96,5,1400,1022,20,NNE,30,NNE
23/05/1987,10.1,0,6.1,8,Light,19,97,4,1100,1019,50,NE,40,NE
24/05/1987,10.6,0,7.4,8,Light,24,97,5,700,1016,50,NE,120,ESE
25/05/1987,12.8,0,11.8,4,Light,n/a,96,7,1900,1019,190,S,130,SE
26/05/1987,15.7,0.4,7.2,5,Light,23,99,6,800,1015,110,ESE,160,SSE
27/05/1987,16.3,0,7.1,4,Light,14,95,6,900,1014,50,NE,60,ENE
28/05/1987,16.4,0,7.6,9,Light,22,98,6,1200,1019,300,WNW,290,WNW
29/05/1987,14.6,0,4.2,8,Light,20,93,6,2000,1024,280,W,290,WNW
30/05/1987,14.9,4.9,5.7,10,Light,25,95,7,1700,1022,220,SW,210,SSW
31/05/1987,15.8,0,12.2,8,Light,22,98,6,1900,1021,310,NW,280,W
01/06/1987,15.1,0.6,4.5,7,Light,19,90,7,2000,1023,240,WSW,230,SW
02/06/1987,12.5,4.7,0,7,Light,22,96,8,800,1017,190,S,200,SSW
03/06/1987,13.8,tr,5.6,11,Moderate,25,98,7,1500,1008,240,WSW,230,SW
04/06/1987,15.5,5.3,7.8,7,Light,17,93,6,2400,1006,230,SW,220,SW
05/06/1987,13.1,19,0.5,10,Light,33,98,8,800,1008,190,S,190,S
06/06/1987,13.8,0,8.9,19,Fresh,46,95,6,1900,1005,230,SW,230,SW
07/06/1987,13.2,tr,3.8,11,Moderate,27,90,6,3000,1006,320,NW,230,SW
08/06/1987,12.9,1,1.7,9,Light,19,93,7,2400,1006,280,W,300,WNW
09/06/1987,11.2,tr,5.4,6,Light,19,96,6,2600,1005,260,W,240,WSW
10/06/1987,9.2,1.3,9.7,4,Light,n/a,96,5,2500,1007,190,S,180,S
11/06/1987,12.6,0,12.5,6,Light,18,94,3,2500,1014,300,WNW,210,SSW
12/06/1987,10.4,0,11.9,5,Light,n/a,97,2,2600,1019,230,SW,170,S
13/06/1987,9.6,0,8.6,5,Light,15,98,3,1500,1015,340,NNW,10,N
14/06/1987,10.2,0,13.1,5,Light,18,95,3,2500,1013,210,SSW,190,S
15/06/1987,9.2,3.7,7.1,4,Light,25,98,4,1300,1011,360,N,330,NNW
16/06/1987,10.4,5.6,8.3,6,Light,25,99,5,1400,1019,350,N,260,W
17/06/1987,12.8,0.1,5.3,10,Light,27,96,6,2000,1017,290,WNW,300,WNW
18/06/1987,13.0,7.4,3.2,9,Light,24,99,6,1300,1013,250,WSW,180,S
19/06/1987,14.0,tr,0.4,12,Moderate,33,100,7,1200,1001,220,SW,330,NNW
20/06/1987,12.6,0,7.7,6,Light,17,96,4,1300,1013,240,WSW,230,SW
21/06/1987,13.6,tr,6.4,5,Light,18,97,6,2700,1018,310,NW,180,S
22/06/1987,12.8,2.7,0.1,6,Light,21,97,7,1300,1021,240,WSW,240,WSW
23/06/1987,17.5,tr,5.1,7,Light,18,98,7,1600,1022,290,WNW,270,W
24/06/1987,17.2,0.2,10.4,7,Light,22,95,5,2400,1021,300,WNW,290,WNW
25/06/1987,14.6,5.7,0.7,8,Light,22,99,7,1500,1017,240,WSW,200,SSW
26/06/1987,15.9,1.6,4.6,8,Light,19,98,7,2300,1014,230,SW,240,WSW
27/06/1987,17.1,1.2,1.2,7,Light,21,100,8,700,1016,220,SW,230,SW
28/06/1987,18.6,tr,0.3,6,Light,17,100,8,500,1022,210,SSW,230,SW
29/06/1987,20.2,0,6.2,4,Light,13,100,6,400,1022,170,S,300,WNW
30/06/1987,17.8,tr,10.5,5,Light,15,94,4,3100,1022,270,W,250,WSW
01/07/1987,15.4,0,12.4,6,Light,18,97,5,3300,1024,320,NW,220,SW
02/07/1987,14.1,0,12.3,3,Light,n/a,97,5,3000,1026,340,NNW,60,ENE
03/07/1987,14.7,0,14.3,4,Light,14,97,3,1700,1027,190,S,180,S
04/07/1987,15.5,0,15,3,Light,n/a,97,3,1900,1026,170,S,150,SSE
05/07/1987,18.1,0,14.9,4,Light,n/a,96,1,1800,1023,350,N,170,S
06/07/1987,19.8,0,10.3,4,Light,16,93,4,600,1018,360,N,170,S
07/07/1987,20.4,0,10.6,8,Light,18,88,5,2200,1019,340,NNW,340,NNW
08/07/1987,16.7,0,14.5,7,Light,16,84,2,3100,1022,10,N,20,NNE
09/07/1987,15.1,0,10.1,5,Light,16,93,4,3400,1024,340,NNW,190,S
10/07/1987,18.0,0,8.6,5,Light,20,88,4,2600,1022,210,SSW,150,SSE
11/07/1987,18.5,0,7.2,7,Light,21,88,5,2600,1016,310,NW,240,WSW
12/07/1987,16.0,0,8.6,6,Light,17,97,4,3600,1019,250,WSW,290,WNW
13/07/1987,16.2,0.1,13.7,4,Light,n/a,96,2,2500,1019,180,S,190,S
14/07/1987,16.3,2.2,0,3,Light,14,96,8,700,1014,110,ESE,110,ESE
15/07/1987,17.6,1.1,2,9,Light,26,98,7,700,1009,220,SW,180,S
16/07/1987,15.2,22.2,7.7,6,Light,21,99,6,1900,1004,180,S,180,S
17/07/1987,16.2,1.3,2.1,4,Light,16,98,7,1700,998,50,NE,210,SSW
18/07/1987,15.9,28.5,1.2,6,Light,27,95,7,1300,1001,250,WSW,180,S
19/07/1987,15.3,16.4,0,7,Light,31,98,8,900,999,180,S,180,S
20/07/1987,17.2,0.1,2.1,11,Moderate,29,97,7,1000,1010,360,N,360,N
21/07/1987,14.6,0.8,0,9,Light,20,92,7,900,1018,340,NNW,320,NW
22/07/1987,15.8,0.2,0.1,9,Light,23,94,8,900,1019,20,NNE,20,NNE
23/07/1987,15.6,tr,0.2,7,Light,16,94,7,700,1021,30,NNE,20,NNE
24/07/1987,15.1,tr,0.1,4,Light,12,97,7,500,1021,270,W,300,WNW
25/07/1987,14.1,tr,5.1,7,Light,19,87,5,3200,1022,350,N,350,N
26/07/1987,13.3,0.2,7.5,7,Light,18,95,5,3100,1022,320,NW,320,NW
27/07/1987,18.6,tr,3.1,13,Moderate,29,92,7,2500,1017,310,NW,300,WNW
28/07/1987,18.3,1.3,3.4,7,Light,17,96,6,2200,1018,300,WNW,300,WNW
29/07/1987,17.7,0.2,3.3,9,Light,22,95,6,2300,1013,230,SW,300,WNW
30/07/1987,15.5,0,5,7,Light,17,94,5,2600,1018,350,N,340,NNW
31/07/1987,20.5,tr,10.9,9,Light,24,92,6,1800,1018,310,NW,270,W
01/08/1987,18.0,tr,9,10,Light,25,93,6,3300,1018,310,NW,320,NW
02/08/1987,19.7,0.6,1.6,10,Light,24,90,7,2700,1013,260,W,260,W
03/08/1987,17.4,0,7.6,8,Light,23,98,5,2700,1014,310,NW,320,NW
04/08/1987,14.1,0.2,10.7,5,Light,18,97,3,2800,1021,340,NNW,320,NW
05/08/1987,12.8,0,10.6,5,Light,14,92,3,3100,1023,350,N,350,N
06/08/1987,13.9,0,6.6,4,Light,12,92,4,1800,1016,180,S,170,S
07/08/1987,12.4,0,7.4,6,Light,21,94,4,3300,1013,240,WSW,250,WSW
08/08/1987,11.1,0,1.3,4,Light,14,94,5,2700,1015,230,SW,300,WNW
09/08/1987,14.6,tr,6.5,6,Light,18,95,5,3400,1016,310,NW,330,NNW
10/08/1987,12.4,0,12,4,Light,n/a,98,3,2200,1020,180,S,190,S
11/08/1987,11.4,1.4,3.1,4,Light,n/a,97,6,1800,1019,190,S,190,S
12/08/1987,16.4,0.4,0.1,6,Light,13,99,8,1100,1017,200,SSW,210,SSW
13/08/1987,18.8,tr,0.6,8,Light,17,99,7,800,1014,230,SW,210,SSW
14/08/1987,17.0,0,12,5,Light,18,99,5,2900,1016,300,WNW,320,NW
15/08/1987,16.6,0,13.7,5,Light,n/a,97,2,3700,1021,210,SSW,200,SSW
16/08/1987,15.9,tr,12.2,4,Light,12,93,1,2800,1018,200,SSW,150,SSE
17/08/1987,20.2,tr,1.8,4,Light,11,94,6,1400,1014,340,NNW,330,NNW
18/08/1987,18.9,0,3.8,7,Light,20,93,5,2700,1016,260,W,230,SW
19/08/1987,16.3,0.1,1.8,5,Light,16,95,6,2000,1021,190,S,200,SSW
20/08/1987,20.0,tr,10.6,5,Light,15,98,4,1500,1017,170,S,140,SE
21/08/1987,20.0,12.2,2.8,3,Light,20,99,6,600,1013,230,SW,170,S
22/08/1987,17.8,0.7,6,5,Light,19,100,5,1500,1008,230,SW,240,WSW
23/08/1987,16.4,0.1,6,5,Light,16,96,5,2300,1009,230,SW,250,WSW
24/08/1987,13.9,0,2.5,7,Light,20,100,6,600,1011,10,N,360,N
25/08/1987,15.3,9.9,4.6,11,Moderate,27,91,5,1700,1010,330,NNW,320,NW
26/08/1987,15.9,0.4,2.9,7,Light,21,98,7,1600,1007,320,NW,300,WNW
27/08/1987,15.6,0,10.6,7,Light,19,92,4,2200,1019,350,N,330,NNW
28/08/1987,15.8,0,9.9,5,Light,18,97,3,1900,1026,310,NW,290,WNW
29/08/1987,18.3,0,0.9,3,Light,12,93,7,900,1025,320,NW,310,NW
30/08/1987,15.3,0,4.2,3,Light,n/a,100,3,500,1023,320,NW,160,SSE
31/08/1987,16.0,tr,8.2,6,Light,19,99,3,800,1018,120,ESE,100,E
01/09/1987,18.5,tr,7.1,4,Light,13,96,5,500,1014,350,N,150,SSE
02/09/1987,18.3,tr,0.1,4,Light,12,95,8,400,1017,170,S,200,SSW
03/09/1987,18.4,0.1,2.6,8,Light,19,96,6,1200,1014,210,SSW,200,SSW
04/09/1987,12.6,4.8,11.5,7,Light,23,99,3,2300,1017,230,SW,210,SSW
05/09/1987,17.1,tr,8.2,12,Moderate,33,93,5,2500,1010,190,S,190,S
06/09/1987,13.8,4.1,0.4,12,Moderate,37,97,6,1800,1015,240,WSW,240,WSW
07/09/1987,15.7,0.2,3.3,3,Light,10,99,5,2500,1018,280,W,280,W
08/09/1987,12.7,0,9.8,4,Light,n/a,100,4,2000,1021,220,SW,200,SSW
09/09/1987,14.9,0.5,6.7,7,Light,n/a,98,7,2300,1018,220,SW,200,SSW
10/09/1987,17.1,tr,7.1,10,Light,23,94,6,2800,1015,240,WSW,220,SW
11/09/1987,15.8,2,0.9,11,Moderate,41,98,8,2100,1013,190,S,200,SSW
12/09/1987,18.0,11.4,0,13,Moderate,35,98,8,1200,1009,220,SW,210,SSW
13/09/1987,14.5,0.2,0.6,4,Light,13,99,8,1600,1012,70,ENE,10,N
14/09/1987,14.5,0,10,8,Light,25,97,4,3300,1018,240,WSW,240,WSW
15/09/1987,12.8,tr,3.6,4,Light,n/a,97,6,3000,1024,180,S,170,S
16/09/1987,16.6,tr,0.2,3,Light,n/a,97,7,1400,1021,90,E,40,NE
17/09/1987,17.0,0.1,1.8,6,Light,18,98,7,500,1019,230,SW,240,WSW
18/09/1987,18.9,1.8,8.5,4,Light,14,99,6,1900,1024,350,N,40,NE
