Date,Daily Mean Temperature (0900-0900) (°C),Daily Total Rainfall (0900-0900) (mm),Daily Total Sunshine (0000-2400) (hrs),Daily Mean Windspeed (0000-2400) (kn),Daily Mean Windspeed (0000-2400) (Beaufort conversion),Daily Maximum Gust (0000-2400) (kn),Daily Maximum Relative Humidity,Daily Mean Total Cloud (oktas),Daily Mean Visibility (Dm),Daily Mean Pressure (hPa),Daily Mean Wind Direction (o),Cardinal Direction,Daily Max Gust Corresponding Direction (o),Cardinal Direction
01/05/1987,10.0,0.8,n/a,n/a,n/a,n/a,90,6,2300,1013,190,S,190,S
02/05/1987,6.4,3.6,n/a,n/a,n/a,n/a,90,5,3600,1008,270,W,260,W
03/05/1987,6.5,tr,n/a,n/a,n/a,n/a,83,4,3100,1026,350,N,340,NNW
04/05/1987,7.8,0,n/a,n/a,n/a,n/a,88,4,4600,1033,310,NW,300,WNW
05/05/1987,13.2,0,n/a,n/a,n/a,n/a,80,4,2900,1033,300,WNW,300,WNW
06/05/1987,9.8,0,n/a,n/a,n/a,n/a,95,3,1500,1033,20,NNE,360,N
07/05/1987,14.7,0,n/a,n/a,n/a,n/a,88,3,1700,1030,160,SSE,140,SE
08/05/1987,13.7,0,n/a,n/a,n/a,n/a,95,4,1300,1024,160,SSE,250,WSW
09/05/1987,12.0,0,n/a,n/a,n/a,n/a,82,6,2300,1015,300,WNW,240,WSW
10/05/1987,9.3,tr,n/a,n/a,n/a,n/a,84,6,6000,1014,290,WNW,330,NNW
11/05/1987,10.8,0.6,n/a,n/a,n/a,n/a,80,7,3800,1004,250,WSW,230,SW
12/05/1987,8.5,tr,n/a,n/a,n/a,n/a,91,6,3200,1001,360,N,340,NNW
13/05/1987,7.4,10.7,n/a,n/a,n/a,n/a,86,5,5100,1009,310,NW,280,W
14/05/1987,6.9,1.3,n/a,n/a,n/a,n/a,97,7,1000,1002,150,SSE,340,NNW
15/05/1987,7.0,0.5,n/a,n/a,n/a,n/a,93,4,1900,1009,340,NNW,330,NNW
