Date,Daily Mean Temperature (0900-0900) (°C),Daily Total Rainfall (0900-0900) (mm),Daily Total Sunshine (0000-2400) (hrs),Daily Mean Windspeed (0000-2400) (kn),Daily Mean Windspeed (0000-2400) (Beaufort conversion),Daily Maximum Gust (0000-2400) (kn),Daily Maximum Relative Humidity,Daily Mean Total Cloud (oktas),Daily Mean Visibility (Dm),Daily Mean Pressure (hPa),Daily Mean Wind Direction (o),Cardinal Direction,Daily Max Gust Corresponding Direction (o),Cardinal Direction
01/05/1987,8.7,4.1,n/a,n/a,n/a,n/a,98,6,3700,1011,280,W,190,S
02/05/1987,4.8,1.1,n/a,n/a,n/a,n/a,93,4,3700,1006,240,WSW,340,NNW
03/05/1987,6.5,0,n/a,n/a,n/a,n/a,85,6,4500,1029,340,NNW,330,NNW
04/05/1987,9.3,tr,n/a,n/a,n/a,n/a,83,7,5000,1032,260,W,250,WSW
05/05/1987,11.6,0,n/a,n/a,n/a,n/a,90,6,4200,1033,300,WNW,270,W
06/05/1987,10.8,0,n/a,n/a,n/a,n/a,89,6,4400,1033,240,WSW,140,SE
07/05/1987,11.3,0,n/a,n/a,n/a,n/a,97,4,2500,1028,240,WSW,220,SW
08/05/1987,12.0,0,n/a,n/a,n/a,n/a,90,6,3000,1022,230,SW,240,WSW
09/05/1987,11.1,0.1,n/a,n/a,n/a,n/a,86,6,3400,1012,240,WSW,270,W
10/05/1987,8.0,0.3,n/a,n/a,n/a,n/a,86,5,5900,1013,300,WNW,290,WNW
11/05/1987,11.8,20.6,n/a,n/a,n/a,n/a,97,8,2400,1000,230,SW,250,WSW
12/05/1987,7.7,1.1,n/a,n/a,n/a,n/a,97,7,2600,1002,340,NNW,300,WNW
13/05/1987,7.7,3.7,n/a,n/a,n/a,n/a,95,6,3500,1008,300,WNW,290,WNW
14/05/1987,7.1,2.5,n/a,n/a,n/a,n/a,95,7,2600,1004,60,ENE,40,NE
15/05/1987,7.4,0.1,n/a,n/a,n/a,n/a,87,6,4000,1011,340,NNW,10,N
16/05/1987,7.4,2.4,n/a,n/a,n/a,n/a,88,7,5000,1011,250,WSW,180,S
17/05/1987,8.2,0.9,n/a,n/a,n/a,n/a,97,8,2000,1008,190,S,40,NE
18/05/1987,9.1,tr,5.6,5,Light,16,100,6,1700,1017,100,E,280,W
19/05/1987,11.5,0,8.6,8,Light,24,86,6,4400,1024,360,N,340,NNW
20/05/1987,11.1,tr,8.5,7,Light,22,78,6,5800,1030,340,NNW,320,NW
21/05/1987,12.2,tr,3.8,11,Moderate,34,93,7,4000,1030,360,N,340,NNW
22/05/1987,9.0,0,9.9,9,Light,22,96,6,3100,1030,70,ENE,60,ENE
23/05/1987,7.6,0,3,7,Light,18,97,7,1900,1028,100,E,90,E
24/05/1987,6.7,tr,7.6,10,Light,22,98,5,1500,1023,90,E,70,ENE
25/05/1987,8.2,tr,0,7,Light,13,100,8,1000,1023,60,ENE,70,ENE
26/05/1987,7.5,0,0,5,Light,13,100,8,800,1022,50,NE,50,NE
27/05/1987,8.5,0,5,5,Light,12,94,7,1900,1018,340,NNW,90,E
28/05/1987,9.0,2.4,0.1,5,Light,n/a,97,7,2700,1017,50,NE,100,E
29/05/1987,10.3,8.1,1.2,6,Light,14,97,8,1000,1019,80,E,120,ESE
30/05/1987,12.8,0.2,6.4,11,Moderate,34,100,7,2000,1011,240,WSW,260,W
31/05/1987,13.5,0.4,7.1,11,Moderate,24,95,7,3100,1014,240,WSW,230,SW
01/06/1987,12.8,tr,8.9,8,Light,19,92,6,5000,1015,240,WSW,230,SW
02/06/1987,9.8,6.1,7.9,8,Light,17,99,7,3200,1014,80,E,50,NE
03/06/1987,8.8,3.6,0,10,Light,19,100,8,300,1006,40,NE,30,NNE
04/06/1987,10.0,tr,2.6,5,Light,9,99,7,2200,1007,90,E,50,NE
05/06/1987,10.4,31.8,0.2,12,Moderate,29,93,7,2100,1007,90,E,80,E
06/06/1987,10.8,2.5,1.2,9,Light,38,99,8,1700,990,80,E,70,ENE
07/06/1987,11.8,5.7,0.9,6,Light,17,99,7,3300,997,320,NW,360,N
08/06/1987,9.3,0.2,0.2,7,Light,18,91,8,3600,1005,340,NNW,340,NNW
09/06/1987,9.8,6,0.8,4,Light,12,97,7,3900,1004,300,WNW,20,NNE
10/06/1987,9.7,0.1,7.5,6,Light,14,94,7,3900,1009,90,E,80,E
11/06/1987,9.0,4.6,0.4,5,Light,13,91,7,3600,1016,90,E,50,NE
12/06/1987,8.2,0.8,7.2,5,Light,14,97,6,2800,1019,20,NNE,70,ENE
13/06/1987,8.8,12.9,7.8,6,Light,16,97,7,3000,1016,100,E,100,E
14/06/1987,8.7,0.3,4.7,8,Light,16,96,7,2600,1015,90,E,90,E
15/06/1987,9.3,tr,8.9,6,Light,14,94,6,2600,1016,90,E,70,ENE
16/06/1987,10.2,3.1,8.2,5,Light,15,97,6,2600,1016,240,WSW,60,ENE
17/06/1987,10.8,0,9,4,Light,12,100,6,3600,1015,270,W,300,WNW
18/06/1987,9.1,0,11,5,Light,16,95,3,5000,1011,250,WSW,90,E
19/06/1987,11.0,0.7,3.1,5,Light,n/a,97,6,2500,1006,240,WSW,70,ENE
20/06/1987,11.1,tr,1.6,4,Light,11,88,7,4200,1012,90,E,80,E
21/06/1987,11.2,4,6.4,6,Light,15,97,7,1900,1016,90,E,100,E
22/06/1987,12.2,0.4,2.2,5,Light,13,99,8,900,1017,90,E,70,ENE
23/06/1987,12.1,12,0,3,Light,n/a,99,8,1100,1018,130,SE,290,WNW
24/06/1987,12.7,2.8,2.7,5,Light,10,96,7,3000,1018,130,SE,150,SSE
25/06/1987,10.7,0,5.8,7,Light,17,97,7,3800,1015,20,NNE,60,ENE
26/06/1987,10.2,0,9.1,5,Light,13,97,5,5500,1014,110,ESE,110,ESE
27/06/1987,11.9,5.1,0,10,Light,19,98,8,1400,1013,100,E,110,ESE
28/06/1987,16.5,tr,4.9,5,Light,16,99,7,2600,1014,240,WSW,240,WSW
29/06/1987,15.8,0.4,3.4,6,Light,21,90,6,3200,1017,250,WSW,240,WSW
30/06/1987,15.5,tr,11.5,15,Moderate,32,89,5,3400,1013,250,WSW,260,W
01/07/1987,15.0,0.2,9.8,15,Moderate,31,85,5,3800,1015,250,WSW,240,WSW
02/07/1987,14.1,tr,4.2,7,Light,16,91,7,4700,1024,240,WSW,260,W
03/07/1987,15.8,0.7,5.3,5,Light,14,94,7,3600,1025,250,WSW,180,S
04/07/1987,17.9,0,6.1,8,Light,23,95,6,2700,1022,230,SW,230,SW
05/07/1987,19.1,0,11.1,7,Light,19,93,4,3100,1021,230,SW,250,WSW
06/07/1987,18.1,tr,10,7,Light,18,90,5,3100,1019,240,WSW,230,SW
07/07/1987,14.1,1.5,4.5,5,Light,17,96,6,3100,1019,240,WSW,50,NE
08/07/1987,12.5,tr,10.1,10,Light,24,93,5,4800,1019,270,W,270,W
09/07/1987,12.6,2.1,9.4,6,Light,16,89,5,5100,1020,270,W,270,W
10/07/1987,14.5,6.1,0.4,3,Light,n/a,99,8,1300,1015,70,ENE,50,NE
11/07/1987,16.4,0.1,10.7,11,Moderate,27,100,7,3200,1007,230,SW,240,WSW
12/07/1987,13.1,0.1,4.7,6,Light,18,95,6,4400,1015,50,NE,50,NE
13/07/1987,13.1,tr,0.2,5,Light,12,99,8,1500,1019,50,NE,140,SE
14/07/1987,15.0,3.7,0.4,8,Light,23,98,8,800,1015,70,ENE,110,ESE
15/07/1987,14.2,8,0,11,Moderate,24,100,8,300,1005,80,E,90,E
16/07/1987,13.7,1.9,5.1,6,Light,17,96,6,3500,1002,240,WSW,240,WSW
17/07/1987,12.8,11.5,0,5,Light,13,98,8,2400,998,250,WSW,270,W
18/07/1987,12.2,3.4,0,19,Fresh,34,99,8,600,996,20,NNE,50,NE
19/07/1987,13.6,0.1,0.8,12,Moderate,23,98,8,400,1009,50,NE,60,ENE
20/07/1987,15.6,tr,1.7,5,Light,13,98,8,2100,1019,50,NE,50,NE
21/07/1987,16.1,0,10.7,9,Light,22,96,5,3000,1023,60,ENE,20,NNE
22/07/1987,11.7,0,9.8,5,Light,14,97,6,1500,1026,100,E,60,ENE
23/07/1987,16.1,1,5.2,4,Light,11,94,7,2500,1023,230,SW,170,S
24/07/1987,15.1,0.2,3.8,8,Light,21,98,7,3700,1020,290,WNW,290,WNW
25/07/1987,13.0,0.4,13.3,9,Light,22,83,5,6000,1021,310,NW,310,NW
26/07/1987,10.8,3.5,4,8,Light,19,97,7,4200,1014,240,WSW,240,WSW
27/07/1987,14.8,0,4.2,9,Light,28,88,6,4900,1012,280,W,280,W
28/07/1987,15.5,0.2,4.4,5,Light,17,95,7,3700,1012,240,WSW,240,WSW
29/07/1987,15.7,12.9,1.1,5,Light,10,95,7,3400,1010,250,WSW,240,WSW
30/07/1987,15.8,3.8,5.1,9,Light,19,99,7,2700,1014,250,WSW,250,WSW
31/07/1987,17.1,0,7.6,16,Moderate,40,95,6,4100,1007,240,WSW,240,WSW
01/08/1987,15.4,0,9.2,12,Moderate,26,79,7,5000,1008,260,W,270,W
02/08/1987,14.2,0,8.4,9,Light,18,89,5,6000,1009,270,W,270,W
03/08/1987,12.0,6.8,4.9,4,Light,13,96,6,4200,1011,220,SW,290,WNW
04/08/1987,10.7,0.3,5.9,5,Light,15,95,5,5500,1021,260,W,360,N
05/08/1987,11.3,0.5,11.9,6,Light,21,90,3,5800,1023,270,W,10,N
06/08/1987,11.1,4.6,8,6,Light,17,93,5,5300,1016,260,W,270,W
07/08/1987,12.8,0.1,2.5,11,Moderate,22,92,7,4700,1004,280,W,270,W
08/08/1987,13.8,0.9,10.2,6,Light,20,87,6,5500,1010,280,W,70,ENE
09/08/1987,12.9,0,7,5,Light,n/a,94,6,3000,1015,100,E,80,E
10/08/1987,13.2,0,6.5,4,Light,n/a,97,6,2400,1017,230,SW,190,S
11/08/1987,11.1,4.8,4.5,5,Light,13,97,6,1600,1015,100,E,90,E
12/08/1987,15.1,5.2,0,5,Light,14,99,8,900,1012,120,ESE,140,SE
13/08/1987,17.0,tr,7.1,10,Light,26,97,6,3100,1007,240,WSW,250,WSW
14/08/1987,15.9,tr,5.7,11,Moderate,27,94,6,3000,1008,230,SW,240,WSW
15/08/1987,15.3,21.7,3.9,7,Light,20,98,7,3000,1014,230,SW,260,W
16/08/1987,19.1,1.4,7.3,11,Moderate,30,99,6,2500,1012,240,WSW,230,SW
17/08/1987,17.4,1.1,2.4,5,Light,12,99,6,2300,1011,240,WSW,220,SW
18/08/1987,16.0,0,3.3,4,Light,12,97,5,4600,1013,240,WSW,280,W
19/08/1987,14.0,1.7,5.4,4,Light,n/a,96,6,3600,1017,240,WSW,140,SE
20/08/1987,18.6,3.8,0.2,9,Light,32,98,8,1500,1010,140,SE,200,SSW
21/08/1987,15.8,0,13.3,8,Light,17,97,2,6300,1010,230,SW,260,W
22/08/1987,13.0,tr,9.4,5,Light,13,96,6,3600,1009,90,E,90,E
23/08/1987,13.7,tr,0,8,Light,20,97,7,2500,1013,20,NNE,50,NE
24/08/1987,10.9,0.6,5.5,4,Light,22,89,6,3700,1017,350,N,340,NNW
25/08/1987,13.9,4.9,1.8,4,Light,n/a,99,7,1400,1011,30,NNE,50,NE
26/08/1987,12.4,0.1,0,12,Moderate,32,97,7,3200,1009,340,NNW,330,NNW
27/08/1987,14.6,0.1,9.7,8,Light,19,84,5,5300,1018,250,WSW,330,NNW
28/08/1987,16.7,2.2,1,9,Light,27,99,7,3700,1018,240,WSW,250,WSW
29/08/1987,14.7,0.1,4.6,8,Light,21,99,7,1800,1022,230,SW,220,SW
30/08/1987,15.0,0,12.1,11,Moderate,27,92,5,4500,1021,100,E,250,WSW
31/08/1987,14.8,3.8,8.3,8,Light,19,84,7,2500,1020,150,SSE,150,SSE
01/09/1987,15.5,0.4,5.1,6,Light,20,98,7,2200,1013,230,SW,300,WNW
02/09/1987,11.8,0,8.8,8,Light,16,96,4,4100,1017,240,WSW,130,SE
03/09/1987,17.0,0.2,5.9,12,Moderate,28,93,5,1900,1006,190,S,190,S
04/09/1987,15.1,2.5,9,13,Moderate,29,83,5,3000,1007,210,SSW,200,SSW
05/09/1987,14.9,11.5,1.3,9,Light,24,94,7,3100,1002,140,SE,270,W
06/09/1987,13.0,0.4,7.7,10,Light,24,96,4,3900,1006,230,SW,240,WSW
07/09/1987,13.2,0,9.4,12,Moderate,28,94,3,4600,1010,250,WSW,270,W
08/09/1987,11.9,tr,6.6,10,Light,21,94,6,4500,1014,250,WSW,250,WSW
09/09/1987,12.6,5.5,0.6,9,Light,25,95,6,2800,1008,230,SW,200,SSW
10/09/1987,11.3,0.3,7,16,Moderate,34,96,4,3000,1002,240,WSW,240,WSW
11/09/1987,12.9,6.9,6.3,13,Moderate,28,98,6,3100,1003,230,SW,230,SW
12/09/1987,14.0,1.1,4.1,11,Moderate,34,100,5,2800,995,230,SW,290,WNW
13/09/1987,13.6,tr,11.1,18,Fresh,37,86,2,3600,1002,230,SW,230,SW
14/09/1987,12.4,1,8.1,18,Fresh,44,85,3,3600,1002,240,WSW,230,SW
15/09/1987,11.3,1.4,8.1,7,Light,19,96,6,3700,1017,230,SW,230,SW
16/09/1987,11.3,tr,7,6,Light,16,99,5,2000,1019,240,WSW,240,WSW
17/09/1987,11.7,0.6,7.5,7,Light,20,99,6,3300,1015,230,SW,240,WSW
18/09/1987,11.2,0.2,10.8,13,Moderate,30,92,3,4400,1020,240,WSW,250,WSW
19/09/1987,10.0,6.9,1.7,9,Light,21,97,7,2600,1017,230,SW,60,ENE
20/09/1987,11.8,3.9,0,8,Light,20,99,8,800,1011,60,ENE,70,ENE
21/09/1987,14.5,4.4,0.6,7,Light,22,98,8,1300,1002,190,S,190,S
22/09/1987,13.3,0.4,8.4,14,Moderate,32,90,4,3400,1001,210,SSW,230,SW
23/09/1987,13.4,tr,8.3,12,Moderate,30,92,3,3600,998,220,SW,230,SW
24/09/1987,10.9,tr,4.2,11,Moderate,29,94,4,4100,998,250,WSW,240,WSW
25/09/1987,8.1,0.1,3.8,7,Light,18,89,5,4700,1005,240,WSW,290,WNW
26/09/1987,8.8,0,6.5,7,Light,19,87,5,5800,1015,310,NW,300,WNW
27/09/1987,7.0,0,2.4,3,Light,n/a,91,5,5200,1025,240,WSW,290,WNW
28/09/1987,7.1,0,3.1,4,Light,12,98,5,3400,1028,250,WSW,220,SW
29/09/1987,9.2,0,10.3,5,Light,12,95,2,3500,1029,240,WSW,80,E
30/09/1987,8.0,0,3.6,8,Light,19,98,6,1200,1026,140,SE,120,ESE
01/10/1987,11.5,0,3.8,7,Light,14,94,6,1100,1027,90,E,110,ESE
02/10/1987,12.1,0,1.1,11,Moderate,19,93,7,1100,1029,90,E,100,E
03/10/1987,11.4,0,0.7,7,Light,12,95,6,400,1027,80,E,70,ENE
04/10/1987,9.5,0.1,0,3,Light,n/a,97,7,600,1014,130,SE,120,ESE
05/10/1987,11.8,5.2,0.5,5,Light,17,97,7,700,999,210,SSW,160,SSE
06/10/1987,11.2,tr,5.8,10,Light,26,95,5,4000,989,230,SW,240,WSW
07/10/1987,7.1,10.6,0,9,Light,21,95,6,2600,982,130,SE,120,ESE
08/10/1987,8.1,0.4,3.3,12,Moderate,32,97,5,4900,978,280,W,270,W
09/10/1987,6.5,3.9,4.5,6,Light,19,97,6,2900,990,230,SW,230,SW
10/10/1987,6.2,0.4,0,4,Light,8,96,8,3700,993,240,WSW,250,WSW
11/10/1987,7.0,0,8.7,6,Light,16,95,4,5400,997,230,SW,210,SSW
12/10/1987,5.4,0.7,2.6,6,Light,16,97,5,2200,999,130,SE,140,SE
13/10/1987,4.4,tr,3.9,3,Light,n/a,100,5,1300,994,280,W,90,E
14/10/1987,5.4,0.9,1.3,4,Light,n/a,100,5,1600,991,210,SSW,200,SSW
15/10/1987,4.6,9.1,0,6,Light,17,98,7,1300,982,10,N,360,N
16/10/1987,7.9,2.2,0,14,Moderate,41,96,7,2700,976,230,SW,230,SW
17/10/1987,9.2,5.5,6.7,13,Moderate,31,89,4,3700,1002,220,SW,230,SW
18/10/1987,9.4,9.1,0,10,Light,35,95,8,1900,1002,180,S,140,SE
19/10/1987,7.6,15.2,0,4,Light,n/a,99,6,1600,1007,120,ESE,50,NE
20/10/1987,8.3,16.3,0,4,Light,13,99,8,300,1008,90,E,60,ENE
21/10/1987,11.7,0.2,0.4,11,Moderate,25,100,8,1200,1000,100,E,90,E
22/10/1987,9.3,0,1.8,15,Moderate,41,93,6,3100,1009,230,SW,190,S
23/10/1987,5.5,0,8.7,5,Light,9,95,1,4200,1022,240,WSW,230,SW
24/10/1987,4.9,tr,8,9,Light,21,94,2,3000,1023,230,SW,220,SW
25/10/1987,7.8,tr,2.7,13,Moderate,29,78,7,4000,1018,210,SSW,210,SSW
26/10/1987,10.5,1,1.8,10,Light,29,94,7,1600,1016,170,S,170,S
27/10/1987,8.2,7.9,0,5,Light,n/a,99,8,300,1010,130,SE,260,W
28/10/1987,6.6,0,8,8,Light,21,95,3,3100,1014,230,SW,230,SW
29/10/1987,4.5,0,2.2,2,Light,n/a,98,6,1600,1021,250,WSW,130,SE
