Date,Daily Mean Air Temperature,Rainfall (24 hour total),Daily Mean Pressure (hPa),Daily Mean Wind Speed,Daily Mean Windspeed (Beaufort conversion)
01/05/1987,14.9,7.4,1020,8.8,Light
02/05/1987,13.7,0.4,1026,2.8,Light
03/05/1987,15.3,0.0,1024,2.8,Light
04/05/1987,16.9,0.0,1024,3.2,Light
05/05/1987,18.4,0.0,1025,3.5,Light
06/05/1987,21.6,0.0,1020,7.0,Light
07/05/1987,20.4,0.0,1017,5.2,Light
08/05/1987,16.6,10.0,1011,5.5,Light
09/05/1987,14.6,44.0,1009,6.5,Light
10/05/1987,10.0,18.4,1016,3.5,Light
11/05/1987,11.5,4.0,1022,8.5,Light
12/05/1987,12.3,0.0,1024,5.7,Light
13/05/1987,12.9,0.0,1025,1.0,Light
14/05/1987,13.1,2.0,1026,3.3,Light
15/05/1987,13.8,0.0,1028,4.2,Light
16/05/1987,14.8,0.0,1027,5.3,Light
17/05/1987,14.5,0.0,1023,2.8,Light
18/05/1987,13.5,0.0,1023,1.5,Light
19/05/1987,14.5,0.0,1025,1.5,Light
20/05/1987,13.8,0.0,1026,0.7,Light
21/05/1987,14.8,0.0,1026,2.7,Light
22/05/1987,16.5,0.0,1026,0.2,Light
23/05/1987,16.3,0.0,1027,1.5,Light
24/05/1987,16.0,0.0,1028,2.3,Light
25/05/1987,16.0,0.0,1029,4.3,Light
26/05/1987,14.7,0.0,1030,3.8,Light
27/05/1987,14.4,0.0,1028,7.3,Light
28/05/1987,14.0,0.0,1026,3.2,Light
29/05/1987,14.8,0.0,1028,7.2,Light
30/05/1987,15.5,0.0,1027,3.8,Light
31/05/1987,15.1,0.0,1023,5.0,Light
01/06/1987,15.9,0.0,1022,12.6,Moderate
02/06/1987,17.0,0.0,1021,10.2,Light
03/06/1987,14.9,0.2,1018,7.5,Light
04/06/1987,15.5,6.0,1014,4.3,Light
05/06/1987,19.3,0.0,1012,5.7,Light
06/06/1987,17.8,13.0,1005,11.4,Moderate
07/06/1987,14.8,19.4,1010,3.2,Light
08/06/1987,15.5,2.0,1013,9.0,Light
09/06/1987,16.9,10.0,1016,7.7,Light
10/06/1987,14.2,3.0,1024,1.3,Light
11/06/1987,13.8,0.0,1026,1.5,Light
12/06/1987,14.1,0.0,1025,5.8,Light
13/06/1987,16.6,0.0,1021,7.7,Light
14/06/1987,18.4,0.0,1019,5.8,Light
15/06/1987,15.0,19.0,1020,5.3,Light
16/06/1987,18.3,9.0,1013,7.3,Light
17/06/1987,14.5,11.0,1008,11.0,Moderate
18/06/1987,12.6,20.0,1005,12.8,Moderate
19/06/1987,14.2,60.0,1008,8.8,Light
20/06/1987,11.1,22.0,1018,9.0,Light
21/06/1987,15.7,12.0,1021,9.5,Light
22/06/1987,14.7,9.0,1021,7.2,Light
23/06/1987,13.9,2.0,1022,2.7,Light
24/06/1987,16.2,1.2,1022,4.0,Light
25/06/1987,14.6,4.0,1021,3.2,Light
26/06/1987,15.3,3.0,1020,1.8,Light
27/06/1987,14.7,4.0,1021,4.7,Light
28/06/1987,14.5,0.6,1020,4.0,Light
29/06/1987,13.0,5.0,1022,2.8,Light
30/06/1987,14.5,0.0,1020,2.4,Light
01/07/1987,16.2,3.0,1020,4.8,Light
02/07/1987,10.0,0.0,1014,3.0,Light
03/07/1987,14.5,21.0,1015,7.3,Light
04/07/1987,14.3,10.0,1024,3.7,Light
05/07/1987,14.4,0.0,1026,5.3,Light
06/07/1987,15.8,0.0,1021,4.5,Light
07/07/1987,19.2,0.0,1014,10.4,Light
08/07/1987,12.5,15.0,1024,3.8,Light
09/07/1987,12.6,0.0,1026,2.8,Light
10/07/1987,12.6,0.0,1027,1.4,Light
11/07/1987,12.3,0.0,1023,3.2,Light
12/07/1987,13.0,1.0,1021,4.2,Light
13/07/1987,14.4,2.8,1023,4.7,Light
14/07/1987,13.6,2.0,1025,4.7,Light
15/07/1987,14.7,2.0,1022,4.2,Light
16/07/1987,13.6,4.0,1021,2.8,Light
17/07/1987,11.7,0.0,1023,0.2,Light
18/07/1987,10.2,0.0,1028,5.4,Light
19/07/1987,8.8,0.0,1030,7.8,Light
20/07/1987,11.9,0.0,1025,10.8,Light
21/07/1987,13.7,0.0,1019,10.0,Light
22/07/1987,15.6,5.8,1016,6.0,Light
23/07/1987,14.3,6.0,1017,9.8,Light
24/07/1987,10.5,5.0,1025,4.7,Light
25/07/1987,11.0,0.0,1026,6.8,Light
26/07/1987,13.1,0.0,1023,8.5,Light
27/07/1987,15.7,0.0,1018,6.2,Light
28/07/1987,16.0,10.2,1012,9.0,Light
29/07/1987,11.6,104.0,1009,9.8,Light
30/07/1987,13.6,11.4,1014,9.8,Light
31/07/1987,10.8,9.2,1018,10.0,Light
01/08/1987,8.9,0.4,1027,2.8,Light
02/08/1987,10.2,0.0,1028,2.8,Light
03/08/1987,11.1,0.0,1029,3.2,Light
04/08/1987,12.1,0.0,1031,5.7,Light
05/08/1987,13.7,0.0,1030,5.5,Light
06/08/1987,15.0,0.0,1027,6.7,Light
07/08/1987,17.1,0.0,1027,10.8,Light
08/08/1987,16.4,0.0,1031,14.8,Moderate
09/08/1987,15.2,0.0,1030,9.5,Light
10/08/1987,16.6,0.0,1026,8.2,Light
11/08/1987,18.9,0.0,1020,4.2,Light
12/08/1987,14.3,15.0,1013,4.0,Light
13/08/1987,12.8,16.0,1021,4.7,Light
14/08/1987,12.4,0.0,1027,4.3,Light
15/08/1987,14.7,0.0,1030,3.8,Light
16/08/1987,15.0,0.0,1029,9.7,Light
17/08/1987,16.1,0.0,1026,6.0,Light
18/08/1987,17.0,0.0,1022,4.7,Light
19/08/1987,18.0,0.0,1017,5.3,Light
20/08/1987,14.5,37.0,1012,1.6,Light
21/08/1987,12.4,26.2,1018,6.7,Light
22/08/1987,11.6,0.8,1023,4.3,Light
23/08/1987,12.2,0.0,1020,5.0,Light
24/08/1987,14.0,0.0,1013,9.0,Light
