Date,Daily Mean Air Temperature,Rainfall (24 hour total),Daily Mean Pressure (hPa),Daily Mean Wind Speed,Daily Mean Windspeed (Beaufort conversion),
01/05/2015,17.5,9.0,1010,5.5,Light,
02/05/2015,20.0,0.1,1010,3.8,Light,
03/05/2015,19.2,0.0,1016,7.5,Light,
04/05/2015,18.5,0.0,1011,8.0,Light,
05/05/2015,21.1,0.0,1006,5.5,Light,
06/05/2015,17.1,0.0,1012,4.0,Light,
07/05/2015,18.8,0.0,1011,5.3,Light,
08/05/2015,18.0,0.0,1012,5.0,Light,
09/05/2015,13.0,0.0,1017,3.3,Light,
10/05/2015,9.7,24.1,1014,3.5,Light,
11/05/2015,14.3,0.1,1003,5.8,Light,
12/05/2015,18.9,0.0,994,3.8,Light,
13/05/2015,24.6,0.0,997,5.8,Light,
14/05/2015,22.2,0.0,1009,4.5,Light,
15/05/2015,19.6,0.0,1014,6.0,Light,
16/05/2015,23.3,0.0,1006,7.0,Light,
17/05/2015,23.1,0.2,998,4.5,Light,
18/05/2015,24.0,0.1,1003,6.8,Light,
19/05/2015,22.8,0.0,1010,8.3,Light,
20/05/2015,23.7,0.0,1014,6.3,Light,
21/05/2015,22.2,0.0,1011,8.8,Light,
22/05/2015,22.9,0.0,1009,3.8,Light,
23/05/2015,25.0,0.0,1007,4.3,Light,
24/05/2015,26.3,0.0,1005,6.3,Light,
25/05/2015,27.1,0.0,1006,5.8,Light,
26/05/2015,27.2,0.0,1005,6.8,Light,
27/05/2015,26.3,0.0,1004,4.8,Light,
28/05/2015,25.6,0.0,1004,4.3,Light,
29/05/2015,23.9,0.8,1006,3.5,Light,
30/05/2015,24.9,0.0,1006,6.0,Light,
31/05/2015,28.0,0.0,1000,6.3,Light,
01/06/2015,27.3,0.0,1002,4.3,Light,
02/06/2015,26.2,0.0,1010,6.8,Light,
03/06/2015,26.6,0.0,1010,5.0,Light,
04/06/2015,19.2,5.0,1002,3.8,Light,
05/06/2015,25.4,0.0,999,5.3,Light,
06/06/2015,22.4,0.7,1003,4.0,Light,
07/06/2015,21.1,0.1,1008,3.0,Light,
08/06/2015,24.6,0.3,1003,3.5,Light,
09/06/2015,24.2,3.0,1001,6.5,Light,
10/06/2015,20.8,9.9,999,3.5,Light,
11/06/2015,23.7,5.0,997,7.0,Light,
12/06/2015,25.7,0.0,998,7.3,Light,
13/06/2015,23.1,0.4,1006,4.8,Light,
14/06/2015,26.6,0.0,1008,4.5,Light,
15/06/2015,26.8,0.0,1005,4.0,Light,
16/06/2015,27.5,0.0,1003,4.5,Light,
17/06/2015,25.9,12.0,1004,3.3,Light,
18/06/2015,27.7,0.0,1006,4.8,Light,
19/06/2015,20.1,2.1,1011,4.3,Light,
20/06/2015,25.9,0.0,1011,3.8,Light,
21/06/2015,27.1,0.0,1007,4.5,Light,
22/06/2015,26.1,0.3,1006,4.5,Light,
23/06/2015,27.2,0.3,1006,5.3,Light,
24/06/2015,24.6,0.0,1004,3.8,Light,
25/06/2015,24.4,2.0,1000,3.8,Light,
26/06/2015,24.2,6.0,1001,3.5,Light,
27/06/2015,26.1,0.0,1006,3.3,Light,
28/06/2015,27.8,0.0,1005,4.3,Light,
29/06/2015,21.9,0.1,1006,4.5,Light,
30/06/2015,21.9,1.2,1000,5.8,Light,
01/07/2015,26.3,1.0,999,4.8,Light,
02/07/2015,27.0,0.0,1003,4.3,Light,
03/07/2015,25.4,0.0,1009,3.8,Light,
04/07/2015,21.6,1.0,1010,2.8,Light,
05/07/2015,24.7,0.0,1010,3.3,Light,
06/07/2015,26.1,0.0,1010,4.5,Light,
07/07/2015,27.4,0.0,1009,5.0,Light,
08/07/2015,27.9,0.0,1011,4.8,Light,
09/07/2015,28.1,0.0,1012,4.8,Light,
10/07/2015,28.2,0.0,1009,5.0,Light,
11/07/2015,29.4,0.0,1005,3.8,Light,
12/07/2015,30.9,0.0,998,4.8,Light,
13/07/2015,32.5,0.2,999,4.3,Light,
14/07/2015,30.4,0.3,1003,3.5,Light,
15/07/2015,27.2,7.0,1006,5.0,Light,
16/07/2015,23.3,1.0,1007,5.8,Light,
17/07/2015,23.5,12.0,1006,4.0,Light,
18/07/2015,23.4,48.7,1006,3.0,Light,
19/07/2015,24.1,1.2,1008,3.3,Light,
20/07/2015,26.1,0.8,1007,3.8,Light,
21/07/2015,25.1,0.0,1005,3.3,Light,
22/07/2015,25.8,4.0,1004,3.0,Light,
23/07/2015,26.3,4.0,1003,3.0,Light,
24/07/2015,26.8,0.0,1001,3.0,Light,
25/07/2015,28.6,0.0,1001,4.5,Light,
26/07/2015,30.0,0.0,1004,3.0,Light,
27/07/2015,28.1,28.0,1004,5.0,Light,
28/07/2015,27.8,0.4,1002,3.0,Light,
29/07/2015,27.8,1.0,1001,3.8,Light,
30/07/2015,24.5,2.6,1006,4.8,Light,
31/07/2015,26.5,0.2,1007,3.5,Light,
01/08/2015,25.0,32.0,1005,2.8,Light,
02/08/2015,26.6,0.6,1002,2.5,Light,
03/08/2015,24.6,0.2,1002,3.0,Light,
04/08/2015,27.3,0.0,1001,4.0,Light,
05/08/2015,27.0,0.0,1003,4.0,Light,
06/08/2015,27.1,0.0,1008,3.5,Light,
07/08/2015,24.6,8.0,1013,4.3,Light,
08/08/2015,26.7,0.1,1012,4.0,Light,
09/08/2015,28.8,0.0,1010,3.0,Light,
10/08/2015,30.0,0.0,1009,4.3,Light,
11/08/2015,29.3,0.0,1008,3.3,Light,
12/08/2015,29.8,0.0,1005,5.0,Light,
13/08/2015,29.7,0.0,1003,5.3,Light,
14/08/2015,28.4,0.0,1003,3.3,Light,
15/08/2015,28.9,0.0,1005,4.3,Light,
16/08/2015,29.1,0.0,1005,4.0,Light,
17/08/2015,28.8,0.0,1007,3.5,Light,
18/08/2015,25.1,0.3,1011,5.0,Light,
19/08/2015,24.9,0.9,1010,3.5,Light,
20/08/2015,27.4,0.0,1007,4.3,Light,
21/08/2015,28.2,0.0,1005,4.0,Light,
22/08/2015,26.9,0.0,1006,5.5,Light,
23/08/2015,23.4,2.0,1010,3.5,Light,
24/08/2015,25.4,0.0,1011,3.0,Light,
25/08/2015,25.7,0.0,1010,3.3,Light,
26/08/2015,26.9,0.0,1009,3.8,Light,
27/08/2015,26.8,0.0,1009,3.8,Light,
28/08/2015,26.5,0.0,1007,4.0,Light,
29/08/2015,25.7,4.0,1009,4.3,Light,
30/08/2015,21.2,26.4,1012,3.5,Light,
31/08/2015,20.5,12.3,1013,3.5,Light,
01/09/2015,21.1,4.1,1013,3.8,Light,
02/09/2015,25.1,0.0,1013,3.5,Light,
03/09/2015,26.5,0.0,1014,3.8,Light,
04/09/2015,20.5,36.0,1011,4.3,Light,
05/09/2015,18.4,11.1,1012,4.3,Light,
06/09/2015,22.3,0.0,1013,2.8,Light,
07/09/2015,23.4,0.0,1014,3.5,Light,
08/09/2015,23.6,0.0,1016,2.8,Light,
09/09/2015,21.7,0.0,1021,4.0,Light,
10/09/2015,15.8,4.3,1020,3.5,Light,
11/09/2015,18.2,6.3,1016,4.8,Light,
12/09/2015,20.0,0.0,1017,6.0,Light,
13/09/2015,22.6,0.0,1016,3.8,Light,
14/09/2015,20.8,0.0,1019,2.8,Light,
15/09/2015,20.4,0.0,1019,2.3,Light,
16/09/2015,21.6,0.0,1018,3.0,Light,
17/09/2015,23.3,0.4,1016,3.8,Light,
18/09/2015,23.4,0.2,1017,2.8,Light,
19/09/2015,23.1,0.0,1016,3.0,Light,
20/09/2015,22.2,0.0,1012,4.3,Light,
21/09/2015,23.1,0.0,1011,3.3,Light,
22/09/2015,20.7,0.0,1009,4.5,Light,
23/09/2015,21.8,0.0,1009,3.0,Light,
24/09/2015,20.1,4.0,1009,3.8,Light,
25/09/2015,19.4,4.0,1012,3.5,Light,
26/09/2015,21.0,0.0,1013,4.3,Light,
27/09/2015,22.9,0.0,1016,3.5,Light,
28/09/2015,17.2,0.8,1025,3.3,Light,
29/09/2015,14.7,12.0,1028,2.8,Light,
30/09/2015,16.1,8.1,1015,5.0,Light,
01/10/2015,16.1,3.0,1013,5.8,Light,
02/10/2015,19.4,0.0,1013,4.3,Light,
03/10/2015,18.6,0.0,1022,4.5,Light,
04/10/2015,18.4,0.0,1022,2.8,Light,
05/10/2015,18.9,0.0,1017,2.3,Light,
06/10/2015,20.3,0.0,1016,2.3,Light,
07/10/2015,20.5,0.0,1016,5.0,Light,
08/10/2015,14.5,0.0,1017,5.0,Light,
09/10/2015,14.7,0.0,1012,7.3,Light,
10/10/2015,14.0,0.0,1017,8.0,Light,
11/10/2015,17.0,0.0,1019,5.3,Light,
12/10/2015,17.2,0.0,1021,3.0,Light,
13/10/2015,18.8,0.0,1019,3.0,Light,
14/10/2015,16.6,0.0,1017,3.8,Light,
15/10/2015,18.0,0.0,1017,2.5,Light,
16/10/2015,17.2,0.0,1017,2.8,Light,
17/10/2015,17.7,0.0,1019,3.5,Light,
18/10/2015,14.4,0.0,1024,3.3,Light,
19/10/2015,14.6,0.0,1016,3.3,Light,
20/10/2015,12.7,0.3,1019,4.3,Light,
21/10/2015,9.9,2.0,1026,2.5,Light,
22/10/2015,10.0,8.7,1023,2.3,Light,
23/10/2015,13.0,0.0,1018,3.5,Light,
24/10/2015,13.9,0.0,1028,3.3,Light,
25/10/2015,11.0,5.0,1025,3.5,Light,
