Date,Daily Mean Temperature (0900-0900) (°C),Daily Total Rainfall (0900-0900) (mm),Daily Total Sunshine (0000-2400) (hrs),Daily Mean Windspeed (0000-2400) (kn),Daily Mean Windspeed (0000-2400) (Beaufort conversion),Daily Maximum Gust (0000-2400) (kn),Daily Maximum Relative Humidity  %,Daily Mean Total Cloud (oktas),Daily Mean Visibility (dam),Daily Mean Pressure (hPa),Daily Mean Wind Direction (o),Cardinal Direction,Daily Max Gust Corresponding Direction (o),Cardinal Direction
01/05/2015,9.8,0,4.4,9,Light,21,79,5,3100,1011,60,ENE,70,ENE
02/05/2015,11.0,3.2,0.7,9,Light,21,93,6,2400,1009,90,E,100,E
03/05/2015,14.7,tr,3.3,13,Moderate,33,98,7,2400,998,220,SW,230,SW
04/05/2015,15.0,7,6.9,10,Light,24,96,5,2900,1002,220,SW,210,SSW
05/05/2015,14.3,3.6,4.7,19,Fresh,43,98,6,2700,995,210,SSW,210,SSW
06/05/2015,11.5,3.4,5.4,18,Fresh,39,86,6,2700,1004,210,SSW,240,WSW
07/05/2015,13.1,tr,5.5,10,Light,25,88,5,3300,1016,240,WSW,200,SSW
08/05/2015,12.3,0.2,0.1,7,Light,20,90,7,2800,1013,200,SSW,220,SW
09/05/2015,15.3,tr,5.7,14,Moderate,30,87,4,3600,1016,230,SW,240,WSW
10/05/2015,14.0,0,7.5,8,Light,22,97,4,2600,1023,190,S,210,SSW
11/05/2015,16.4,0.2,5.6,10,Light,22,88,4,3000,1018,210,SSW,250,WSW
12/05/2015,14.3,tr,9.3,11,Moderate,28,80,3,3700,1019,260,W,250,WSW
13/05/2015,13.1,0.2,14,5,Light,19,88,1,3100,1019,250,WSW,90,E
14/05/2015,10.2,13.8,0,9,Light,25,95,7,1700,1013,90,E,80,E
15/05/2015,11.7,tr,5.7,8,Light,19,94,6,2600,1021,20,NNE,250,WSW
16/05/2015,14.9,0,10,9,Light,21,86,4,3200,1024,300,WNW,270,W
17/05/2015,12.1,0.2,8.8,9,Light,24,89,3,3200,1025,260,W,250,WSW
18/05/2015,12.4,1.2,5,14,Moderate,41,94,5,3200,1007,200,SSW,250,WSW
19/05/2015,11.0,2.6,8,13,Moderate,29,82,3,3800,1005,230,SW,290,WNW
20/05/2015,10.0,tr,7.9,8,Light,23,90,3,3900,1017,300,WNW,300,WNW
21/05/2015,12.9,0,13.5,8,Light,20,86,1,3500,1026,260,W,270,W
22/05/2015,13.5,tr,3.5,6,Light,14,90,6,3000,1025,260,W,250,WSW
23/05/2015,15.3,tr,4.6,7,Light,17,81,6,2800,1024,330,NNW,80,E
24/05/2015,16.0,0.2,5.1,7,Light,16,80,6,3200,1020,260,W,240,WSW
25/05/2015,12.8,tr,2.7,6,Light,19,74,6,3300,1020,310,NW,300,WNW
26/05/2015,14.5,0,8.5,7,Light,17,82,2,3300,1024,320,NW,320,NW
27/05/2015,13.8,tr,9.7,8,Light,22,81,1,3400,1023,290,WNW,210,SSW
28/05/2015,14.8,0,8.7,12,Moderate,24,79,3,4100,1015,260,W,240,WSW
29/05/2015,11.9,2.6,4.1,10,Light,31,89,4,4000,1009,220,SW,240,WSW
30/05/2015,12.6,2.8,8.4,9,Light,22,90,3,3900,1014,260,W,210,SSW
31/05/2015,13.5,0.4,1.7,12,Moderate,26,94,6,2700,1008,190,S,260,W
01/06/2015,12.1,0.6,4.1,15,Moderate,35,85,4,3300,1012,210,SSW,240,WSW
02/06/2015,15.4,tr,1.6,18,Fresh,36,94,7,2500,1005,220,SW,210,SSW
03/06/2015,15.8,0,9.1,9,Light,23,79,3,4000,1021,270,W,250,WSW
