Date,Daily Mean Temperature (0900-0900) (°C),Daily Total Rainfall (0900-0900) (mm),Daily Total Sunshine (0000-2400) (hrs),Daily Mean Windspeed (0000-2400) (kn),Daily Mean Windspeed (0000-2400) (Beaufort conversion),Daily Maximum Gust (0000-2400) (kn),Daily Maximum Relative Humidity %,Daily Mean Total Cloud (oktas),Daily Mean Visibility (dam),Daily Mean Pressure (hPa),Daily Mean Wind Direction (o),Cardinal Direction,Daily Max Gust Corresponding Direction (o),Cardinal Direction
01/05/2015,8.7,tr,0,9,Light,21,79,8,2900,1009,80,E,70,ENE
02/05/2015,10.4,12,0.1,11,Moderate,24,96,8,1800,1007,100,E,150,SSE
03/05/2015,13.1,0.2,2.4,14,Moderate,31,99,7,1600,998,240,WSW,230,SW
04/05/2015,11.2,9.4,6,8,Light,23,96,5,2000,1001,240,WSW,270,W
05/05/2015,13.5,6.6,6.9,19,Fresh,41,97,6,1800,996,230,SW,240,WSW
06/05/2015,11.1,0,4.5,17,Fresh,44,91,7,1900,1006,250,WSW,240,WSW
07/05/2015,11.4,tr,7,8,Light,22,90,4,2500,1017,230,SW,240,WSW
08/05/2015,12.7,1,0.3,8,Light,24,95,8,1900,1013,60,ENE,240,WSW
09/05/2015,14.3,tr,4.3,12,Moderate,27,91,6,2300,1017,240,WSW,250,WSW
10/05/2015,13.1,0,3.5,7,Light,18,92,7,1900,1023,240,WSW,210,SSW
11/05/2015,13.6,tr,4.6,7,Light,18,95,6,2100,1019,240,WSW,260,W
12/05/2015,12.9,0,6.9,8,Light,22,95,4,2600,1020,270,W,270,W
13/05/2015,8.7,2.2,11,4,Light,15,94,3,2600,1019,180,S,150,SSE
14/05/2015,10.1,17.8,0,8,Light,23,95,8,2100,1011,110,ESE,90,E
15/05/2015,10.9,0,0.8,7,Light,17,93,8,2200,1022,40,NE,40,NE
16/05/2015,14.1,0,10.5,11,Moderate,25,95,3,2500,1026,310,NW,310,NW
17/05/2015,8.9,1.4,8.1,7,Light,20,95,3,2200,1026,240,WSW,240,WSW
18/05/2015,12.1,0.6,4.9,14,Moderate,36,96,5,2600,1008,260,W,240,WSW
19/05/2015,10.4,6.6,7.3,11,Moderate,28,94,3,3200,1007,250,WSW,260,W
20/05/2015,9.4,0,8.8,10,Light,23,95,2,2900,1019,320,NW,290,WNW
21/05/2015,10.5,0.4,10.3,6,Light,19,96,2,2400,1027,230,SW,220,SW
22/05/2015,12.4,0.2,0.2,5,Light,13,94,6,2500,1026,240,WSW,320,NW
23/05/2015,16.8,0,9.2,7,Light,17,92,5,2500,1024,360,N,360,N
24/05/2015,15.0,tr,2.9,6,Light,16,92,6,2300,1021,260,W,250,WSW
25/05/2015,11.9,0,2.5,6,Light,15,91,6,1900,1020,310,NW,290,WNW
26/05/2015,13.1,0,6.7,6,Light,18,97,4,2700,1024,320,NW,10,N
27/05/2015,11.1,0.2,7.5,7,Light,19,94,5,2100,1024,340,NNW,240,WSW
28/05/2015,14.0,tr,6.3,10,Light,23,91,6,2600,1016,290,WNW,290,WNW
