Date,Daily Mean Air Temperature,Rainfall (24 hour total),Daily Mean Pressure (hPa),Daily Mean Wind Speed,Daily Mean Windspeed (Beaufort conversion)
01/05/2015,18.8,0.0,1011,6.8,Light
02/05/2015,17.5,0.0,1017,4.1,Light
03/05/2015,18.7,0.0,1020,4.8,Light
04/05/2015,19.6,0.0,1024,5.1,Light
05/05/2015,21.1,0.0,1024,7.6,Light
06/05/2015,22.2,0.0,1020,8.9,Light
07/05/2015,21.5,0.0,1017,6.5,Light
08/05/2015,23.0,0.0,1016,8.1,Light
09/05/2015,23.6,0.0,1017,3.0,Light
10/05/2015,25.0,0.0,1018,4.1,Light
11/05/2015,26.1,0.0,1019,5.0,Light
12/05/2015,25.8,0.0,1021,4.1,Light
13/05/2015,25.8,0.0,1020,4.6,Light
14/05/2015,24.7,0.0,1022,6.8,Light
15/05/2015,24.2,0.0,1023,10.1,Light
16/05/2015,22.7,0.0,1023,6.0,Light
17/05/2015,23.0,0.0,1023,5.3,Light
18/05/2015,24.7,0.0,1022,6.0,Light
19/05/2015,24.8,0.0,1018,5.6,Light
20/05/2015,24.5,6.0,1015,2.3,Light
21/05/2015,26.5,0.0,1013,6.8,Light
22/05/2015,24.5,0.0,1017,6.3,Light
23/05/2015,23.0,0.0,1024,8.3,Light
24/05/2015,24.9,0.0,1025,9.4,Light
25/05/2015,25.1,0.0,1023,8.8,Light
26/05/2015,26.4,0.0,1023,8.0,Light
27/05/2015,25.6,0.0,1023,7.0,Light
28/05/2015,23.7,0.0,1021,5.6,Light
29/05/2015,23.3,0.0,1021,3.9,Light
30/05/2015,22.9,24.0,1020,4.1,Light
31/05/2015,24.7,0.0,1018,4.6,Light
01/06/2015,24.8,0.0,1018,4.9,Light
02/06/2015,23.3,36.0,1016,2.6,Light
03/06/2015,22.7,6.8,1014,7.6,Light
04/06/2015,24.7,6.0,1015,4.5,Light
05/06/2015,24.5,0.5,1016,4.3,Light
06/06/2015,25.1,0.5,1014,4.0,Light
07/06/2015,25.4,0.0,1016,5.6,Light
08/06/2015,25.6,0.0,1018,5.5,Light
09/06/2015,26.9,0.0,1015,6.1,Light
10/06/2015,25.0,23.0,1014,2.3,Light
11/06/2015,25.1,0.0,1016,4.4,Light
12/06/2015,26.1,0.0,1019,4.4,Light
13/06/2015,27.0,0.0,1021,3.8,Light
14/06/2015,27.2,0.0,1020,3.9,Light
15/06/2015,27.2,0.0,1019,2.6,Light
16/06/2015,28.3,0.0,1019,4.5,Light
17/06/2015,31.2,0.0,1018,5.8,Light
18/06/2015,28.8,0.0,1018,4.4,Light
19/06/2015,27.3,4.0,1018,6.3,Light
20/06/2015,28.0,18.0,1018,5.0,Light
21/06/2015,28.7,0.0,1018,7.1,Light
22/06/2015,28.7,6.0,1018,6.0,Light
23/06/2015,26.9,79.6,1020,5.6,Light
24/06/2015,27.0,6.6,1019,4.4,Light
25/06/2015,25.6,29.0,1019,3.8,Light
26/06/2015,25.7,29.5,1018,5.6,Light
27/06/2015,27.8,0.0,1016,8.3,Light
28/06/2015,26.7,2.0,1015,10.3,Light
29/06/2015,24.6,11.0,1016,4.8,Light
30/06/2015,24.9,0.8,1017,3.8,Light
01/07/2015,25.9,0.5,1018,7.8,Light
02/07/2015,27.9,0.0,1018,8.0,Light
03/07/2015,26.1,1.6,1018,5.0,Light
04/07/2015,26.9,14.0,1018,5.3,Light
05/07/2015,24.7,17.0,1021,2.1,Light
06/07/2015,24.6,9.0,1021,3.3,Light
07/07/2015,25.5,27.0,1020,2.9,Light
08/07/2015,25.4,27.0,1021,3.5,Light
09/07/2015,27.9,0.0,1021,4.4,Light
10/07/2015,28.3,0.0,1020,4.5,Light
11/07/2015,27.4,0.0,1019,4.8,Light
12/07/2015,27.2,0.0,1017,3.1,Light
13/07/2015,27.3,1.0,1014,4.1,Light
14/07/2015,29.0,0.0,1012,7.5,Light
15/07/2015,28.1,2.0,1012,9.1,Light
16/07/2015,27.7,0.0,1014,7.0,Light
17/07/2015,27.4,0.0,1014,5.3,Light
18/07/2015,27.2,0.0,1016,4.3,Light
19/07/2015,27.1,0.0,1016,4.6,Light
20/07/2015,26.7,0.0,1014,5.9,Light
21/07/2015,27.3,9.0,1013,7.1,Light
22/07/2015,27.1,24.6,1013,6.3,Light
23/07/2015,27.9,15.0,1014,6.1,Light
24/07/2015,26.7,19.0,1014,4.9,Light
25/07/2015,26.0,0.0,1013,7.8,Light
26/07/2015,26.1,6.0,1013,8.1,Light
27/07/2015,27.1,0.0,1013,2.5,Light
28/07/2015,27.3,0.0,1014,4.3,Light
29/07/2015,27.6,0.0,1014,4.5,Light
30/07/2015,26.9,0.0,1014,3.4,Light
31/07/2015,28.1,0.0,1014,4.1,Light
01/08/2015,26.2,4.0,1013,7.0,Light
02/08/2015,25.9,2.8,1012,6.4,Light
03/08/2015,26.0,3.0,1011,7.4,Light
04/08/2015,26.3,31.0,1014,5.0,Light
05/08/2015,25.6,19.0,1018,5.0,Light
06/08/2015,26.6,0.0,1017,4.0,Light
07/08/2015,26.8,2.0,1013,7.8,Light
08/08/2015,26.1,2.0,1011,6.4,Light
09/08/2015,27.7,0.0,1014,5.1,Light
10/08/2015,26.2,0.0,1015,3.6,Light
11/08/2015,26.2,0.0,1015,3.6,Light
12/08/2015,27.1,12.3,1014,7.5,Light
13/08/2015,26.6,12.0,1014,4.8,Light
14/08/2015,26.8,0.0,1017,5.1,Light
15/08/2015,25.9,0.0,1018,4.6,Light
16/08/2015,26.3,8.0,1019,4.6,Light
17/08/2015,26.4,3.0,1019,2.5,Light
18/08/2015,26.5,8.0,1017,3.5,Light
19/08/2015,25.7,34.0,1016,4.4,Light
20/08/2015,26.9,4.0,1016,1.4,Light
21/08/2015,27.1,7.6,1016,4.0,Light
22/08/2015,28.5,0.8,1016,5.5,Light
23/08/2015,26.9,4.0,1015,3.8,Light
24/08/2015,25.4,41.6,1014,2.6,Light
25/08/2015,28.5,0.0,1012,3.5,Light
26/08/2015,27.0,46.0,1013,4.5,Light
27/08/2015,25.4,5.0,1013,3.9,Light
28/08/2015,26.0,0.8,1016,3.6,Light
29/08/2015,24.9,3.0,1019,5.4,Light
30/08/2015,25.6,31.6,1017,3.1,Light
31/08/2015,25.6,9.0,1017,3.1,Light
01/09/2015,26.8,10.0,1018,2.0,Light
02/09/2015,26.5,21.0,1018,3.5,Light
03/09/2015,26.4,71.0,1014,4.6,Light
04/09/2015,28.1,0.0,1014,1.5,Light
05/09/2015,25.4,16.0,1016,3.1,Light
06/09/2015,25.0,6.0,1016,4.5,Light
07/09/2015,25.5,0.0,1015,4.1,Light
08/09/2015,24.7,7.3,1015,4.3,Light
09/09/2015,26.5,5.0,1016,3.0,Light
10/09/2015,26.6,0.0,1014,4.4,Light
11/09/2015,27.8,0.0,1013,6.9,Light
12/09/2015,24.6,15.0,1012,3.6,Light
13/09/2015,23.6,11.0,1013,5.0,Light
14/09/2015,21.4,0.0,1019,5.4,Light
15/09/2015,23.3,11.0,1022,6.3,Light
16/09/2015,23.1,53.0,1022,4.9,Light
17/09/2015,22.8,18.0,1018,5.3,Light
18/09/2015,23.4,40.6,1011,9.4,Light
19/09/2015,24.8,0.5,1010,7.3,Light
20/09/2015,25.4,0.0,1013,2.1,Light
21/09/2015,24.9,0.0,1014,1.5,Light
22/09/2015,24.7,0.0,1015,5.5,Light
23/09/2015,22.8,0.0,1015,8.3,Light
24/09/2015,22.6,18.0,1014,8.6,Light
25/09/2015,21.7,0.0,1014,5.1,Light
26/09/2015,24.5,0.6,1014,5.4,Light
27/09/2015,24.7,0.3,1015,7.6,Light
28/09/2015,25.4,0.8,1013,6.3,Light
29/09/2015,25.8,10.8,1010,4.0,Light
30/09/2015,25.4,0.3,1008,2.1,Light
01/10/2015,25.7,2.0,1006,4.6,Light
02/10/2015,22.8,0.0,1004,7.9,Light
03/10/2015,20.4,0.0,1002,8.8,Light
04/10/2015,19.0,0.0,1004,6.9,Light
