Date,Daily Mean Temperature (0900-0900) (°C),Daily Total Rainfall (0900-0900) (mm),Daily Total Sunshine (0000-2400) (hrs),Daily Mean Windspeed (0000-2400) (kn),Daily Mean Windspeed (0000-2400) (Beaufort conversion),Daily Maximum Gust (0000-2400) (kn),Daily Maximum Relative Humidity  %,Daily Mean Total Cloud (oktas),Daily Mean Visibility (dam),Daily Mean Pressure (hPa),Daily Mean Wind Direction (o),Cardinal Direction,Daily Max Gust Corresponding Direction (o),Cardinal Direction
01/05/2015,4.0,0,11.6,5,Light,18,99,4,2500,1013,30,NNE,30,NNE
02/05/2015,5.3,11.4,3.7,7,Light,19,94,7,1600,1012,110,ESE,110,ESE
03/05/2015,11.8,2.6,2.7,9,Light,25,95,7,1400,996,110,ESE,260,W
04/05/2015,12.4,20.6,6.6,9,Light,23,94,7,2000,999,240,WSW,260,W
05/05/2015,11.5,1.6,3.6,13,Moderate,45,99,6,1500,989,30,NNE,250,WSW
06/05/2015,9.7,1.6,4.2,14,Moderate,30,87,5,2400,995,190,S,180,S
07/05/2015,8.7,0,11.7,7,Light,19,88,3,3200,1013,270,W,260,W
08/05/2015,7.3,19,7.6,5,Light,18,96,5,2000,1013,90,E,120,ESE
09/05/2015,10.7,0.2,2.5,8,Light,31,99,7,1800,1011,330,NNW,260,W
10/05/2015,11.0,tr,4.1,11,Moderate,28,94,7,1500,1018,200,SSW,210,SSW
11/05/2015,15.1,0.2,6.7,15,Moderate,38,87,7,2700,1012,230,SW,230,SW
12/05/2015,11.6,tr,5.5,16,Moderate,37,80,6,2600,1013,250,WSW,240,WSW
13/05/2015,9.5,0,6.9,6,Light,18,80,4,3100,1019,30,NNE,20,NNE
14/05/2015,7.8,0,1.5,6,Light,17,89,7,2800,1017,90,E,120,ESE
15/05/2015,10.9,0.2,7.6,7,Light,21,84,7,2600,1019,220,SW,240,WSW
16/05/2015,11.5,tr,9.7,13,Moderate,29,86,5,2100,1021,270,W,260,W
17/05/2015,9.8,3.2,1.7,11,Moderate,28,83,7,2100,1020,260,W,250,WSW
18/05/2015,10.3,0.8,2.3,11,Moderate,30,93,7,2900,1001,250,WSW,260,W
19/05/2015,9.0,2.4,6.3,8,Light,24,91,6,2600,1000,270,W,260,W
20/05/2015,10.6,tr,8.3,11,Moderate,25,81,4,3500,1014,280,W,300,WNW
21/05/2015,9.7,tr,6.9,8,Light,23,95,6,2700,1023,260,W,260,W
22/05/2015,14.9,tr,7.3,8,Light,24,87,6,3000,1023,270,W,280,W
23/05/2015,14.3,1,11.7,7,Light,19,91,4,1400,1024,170,S,160,SSE
24/05/2015,12.5,0,3.7,10,Light,22,92,7,2100,1018,310,NW,320,NW
25/05/2015,12.0,tr,2.4,8,Light,18,79,7,1900,1018,300,WNW,280,W
26/05/2015,11.9,0,7.2,9,Light,22,85,4,3000,1023,310,NW,250,WSW
27/05/2015,9.4,1.2,3.6,8,Light,26,89,6,2600,1019,230,SW,250,WSW
28/05/2015,10.6,5.4,11.4,13,Moderate,31,90,4,2600,1010,260,W,250,WSW
29/05/2015,10.3,2,6.1,8,Light,28,90,6,2400,1005,290,WNW,300,WNW
30/05/2015,9.3,2,10.7,9,Light,22,89,3,2200,1010,260,W,280,W
31/05/2015,11.3,0.6,4.2,11,Moderate,33,97,6,1600,1003,270,W,280,W
01/06/2015,8.9,10,5.1,15,Moderate,43,91,6,2100,1004,190,S,180,S
02/06/2015,10.7,tr,8.9,17,Fresh,43,82,4,2300,996,250,WSW,250,WSW
03/06/2015,12.0,0,10,8,Light,23,80,4,3300,1018,260,W,260,W
04/06/2015,11.7,0,12.8,7,Light,18,97,4,2700,1024,160,SSE,150,SSE
05/06/2015,15.0,0,8.9,9,Light,25,91,4,1900,1014,170,S,270,W
06/06/2015,11.6,tr,5.4,17,Fresh,43,82,4,1900,1018,230,SW,250,WSW
07/06/2015,12.6,0,13.9,10,Light,25,78,3,2100,1030,290,WNW,290,WNW
08/06/2015,9.4,0,9.7,7,Light,17,92,3,2800,1036,40,NE,60,ENE
09/06/2015,9.7,0,12.1,5,Light,18,97,3,3200,1036,30,NNE,40,NE
10/06/2015,11.0,0,14.6,4,Light,12,97,2,2600,1032,150,SSE,180,S
11/06/2015,11.9,0,15.9,5,Light,18,98,1,2500,1023,140,SE,170,S
12/06/2015,13.4,1.2,13.5,4,Light,13,98,5,2200,1013,340,NNW,170,S
13/06/2015,14.0,1.8,1,6,Light,16,98,8,500,1010,350,N,20,NNE
14/06/2015,10.8,0.6,0,7,Light,20,97,8,1100,1016,30,NNE,30,NNE
15/06/2015,9.8,tr,7.8,5,Light,14,97,7,2300,1023,160,SSE,220,SW
16/06/2015,15.5,0,3.3,5,Light,17,85,7,2200,1024,180,S,230,SW
17/06/2015,16.3,0.2,3.3,11,Moderate,25,86,5,2100,1019,270,W,270,W
18/06/2015,12.1,0.2,2.5,10,Light,31,75,6,2300,1020,300,WNW,300,WNW
19/06/2015,12.4,0.4,0,8,Light,21,85,6,2900,1021,290,WNW,310,NW
20/06/2015,15.0,1.2,3.6,6,Light,19,94,7,1100,1018,270,W,250,WSW
21/06/2015,13.5,tr,4.1,10,Light,30,89,5,1600,1012,250,WSW,260,W
22/06/2015,10.7,2.6,0.6,9,Light,25,89,7,2600,1010,340,NNW,340,NNW
23/06/2015,13.8,0,5.9,7,Light,19,90,6,2700,1018,340,NNW,360,N
24/06/2015,13.1,0,5.1,7,Light,20,96,4,1800,1018,160,SSE,270,W
25/06/2015,15.2,1.2,2.9,4,Light,17,97,6,1800,1019,170,S,210,SSW
26/06/2015,17.4,0.4,2.2,6,Light,18,98,6,1200,1014,160,SSE,230,SW
27/06/2015,16.0,0.4,11.4,9,Light,22,93,3,1500,1017,270,W,270,W
28/06/2015,17.9,tr,5.9,11,Moderate,31,85,6,1500,1015,260,W,270,W
29/06/2015,16.6,0,4.2,6,Light,16,91,6,2100,1020,240,WSW,220,SW
30/06/2015,20.7,0,11.5,8,Light,20,85,4,2300,1018,150,SSE,160,SSE
01/07/2015,22.6,7,8.9,7,Light,32,89,3,1500,1012,140,SE,180,S
02/07/2015,20.1,1.8,5.1,7,Light,31,93,5,2200,1016,280,W,280,W
03/07/2015,16.3,17,12.7,5,Light,18,96,3,2600,1024,150,SSE,80,E
04/07/2015,18.7,tr,7.7,7,Light,23,98,5,1300,1017,260,W,270,W
05/07/2015,14.4,4.6,4.2,4,Light,32,97,5,1800,1016,210,SSW,220,SW
06/07/2015,13.6,2,5,8,Light,21,97,5,2300,1014,150,SSE,180,S
07/07/2015,17.3,1.2,4.7,11,Moderate,28,91,7,2300,1004,250,WSW,270,W
08/07/2015,13.9,6.8,0.7,7,Light,19,96,7,2200,1009,260,W,40,NE
09/07/2015,12.1,tr,14.5,6,Light,17,99,3,3400,1021,260,W,280,W
10/07/2015,18.4,tr,8.1,7,Light,19,90,7,2300,1015,160,SSE,170,S
11/07/2015,17.8,0.8,4,8,Light,22,93,7,1700,1014,260,W,260,W
12/07/2015,17.4,0.8,9.8,11,Moderate,24,90,5,2500,1012,260,W,200,SSW
13/07/2015,14.7,4.6,0,6,Light,17,96,7,1900,1012,150,SSE,170,S
14/07/2015,16.6,tr,4.3,4,Light,12,97,6,2100,1016,350,N,350,N
15/07/2015,15.2,0,10.7,6,Light,19,95,4,3600,1019,310,NW,10,N
16/07/2015,14.3,0.8,6.5,6,Light,18,99,6,2500,1018,130,SE,130,SE
17/07/2015,16.3,tr,5.9,12,Moderate,30,97,5,2600,1008,240,WSW,220,SW
18/07/2015,16.3,2.2,9.4,14,Moderate,31,76,5,3300,1011,240,WSW,240,WSW
19/07/2015,15.0,tr,5.4,10,Light,30,94,6,2800,1007,270,W,280,W
20/07/2015,14.2,1.4,6.1,10,Light,25,95,6,2800,1007,170,S,250,WSW
21/07/2015,16.2,tr,1.7,11,Moderate,26,98,7,2900,1007,220,SW,240,WSW
22/07/2015,14.0,0.6,5.9,6,Light,18,91,6,3200,1013,270,W,270,W
23/07/2015,14.6,tr,8,9,Light,26,92,5,3600,1015,250,WSW,250,WSW
24/07/2015,11.5,0,1.1,4,Light,11,94,7,3500,1013,150,SSE,350,N
25/07/2015,13.7,0.8,5,7,Light,21,95,5,3300,1013,330,NNW,20,NNE
26/07/2015,10.3,4.6,4,6,Light,19,100,6,1100,1004,140,SE,150,SSE
27/07/2015,13.3,12,0,7,Light,16,99,8,500,997,20,NNE,20,NNE
28/07/2015,12.3,10.4,0.1,5,Light,11,99,8,700,1003,350,N,360,N
29/07/2015,13.4,0.4,4.8,7,Light,19,97,7,3100,1009,290,WNW,330,NNW
30/07/2015,13.7,1.6,5.8,4,Light,14,95,5,2300,1017,360,N,310,NW
31/07/2015,11.1,0.2,3.5,6,Light,17,97,6,2400,1017,160,SSE,260,W
01/08/2015,14.8,0.6,6,9,Light,22,88,6,1800,1013,240,WSW,230,SW
02/08/2015,15.5,tr,0.9,6,Light,17,95,8,1300,1015,150,SSE,160,SSE
03/08/2015,18.2,0,4.9,8,Light,25,83,6,2400,1007,240,WSW,200,SSW
04/08/2015,15.5,tr,1.9,12,Moderate,31,83,5,2000,1007,220,SW,220,SW
05/08/2015,17.6,0.4,2.7,9,Light,23,89,7,2300,1010,190,S,190,S
06/08/2015,17.3,tr,6.6,9,Light,20,90,5,2300,1010,270,W,270,W
07/08/2015,13.3,0,8.4,4,Light,13,100,4,2700,1019,320,NW,240,WSW
08/08/2015,14.8,tr,10.7,6,Light,22,97,3,900,1022,240,WSW,200,SSW
09/08/2015,17.9,tr,2.9,8,Light,23,87,7,1900,1017,230,SW,230,SW
10/08/2015,17.6,0.6,9.7,10,Light,34,91,4,2200,1014,180,S,210,SSW
11/08/2015,14.0,0,4.8,5,Light,14,94,4,2700,1020,260,W,280,W
12/08/2015,15.1,0,12.4,4,Light,14,96,2,3100,1025,360,N,230,SW
13/08/2015,13.1,15.2,5.3,4,Light,13,100,5,1900,1019,120,ESE,110,ESE
14/08/2015,14.4,8.2,0,8,Light,18,98,8,800,1007,340,NNW,330,NNW
15/08/2015,14.1,0,10.4,8,Light,24,95,4,2100,1011,270,W,290,WNW
16/08/2015,11.3,0,2.7,3,Light,10,95,6,1700,1018,160,SSE,200,SSW
17/08/2015,15.0,0.8,9.1,5,Light,17,92,6,3200,1018,20,NNE,30,NNE
18/08/2015,13.6,7,0,8,Light,20,92,8,1700,1012,320,NW,330,NNW
19/08/2015,17.6,2.2,5.3,10,Light,22,97,7,1900,1013,190,S,180,S
20/08/2015,18.2,0.2,3.7,9,Light,20,97,7,1900,1016,160,SSE,200,SSW
21/08/2015,20.4,0.8,2.1,12,Moderate,27,96,7,2300,1015,180,S,190,S
22/08/2015,18.1,18.6,2.8,5,Light,16,98,7,1200,1014,170,S,40,NE
23/08/2015,18.2,8.6,9.1,8,Light,31,99,4,900,1003,110,ESE,110,ESE
24/08/2015,14.6,0,2.9,4,Light,13,100,6,1800,1001,170,S,290,WNW
25/08/2015,14.5,1.6,6.5,10,Light,24,97,6,2800,1003,260,W,250,WSW
26/08/2015,17.0,0,7.7,13,Moderate,29,96,5,2900,998,170,S,220,SW
27/08/2015,15.1,0,12.6,12,Moderate,29,86,2,2900,1002,200,SSW,250,WSW
28/08/2015,15.4,tr,9.2,10,Light,31,87,3,2100,1011,240,WSW,270,W
29/08/2015,16.4,0,5.8,9,Light,23,85,5,2200,1017,230,SW,210,SSW
30/08/2015,13.9,3.4,2.4,4,Light,9,99,8,1800,1019,180,S,180,S
31/08/2015,13.1,0.8,0,6,Light,15,95,8,1300,1017,340,NNW,360,N
01/09/2015,14.4,0.6,5.5,7,Light,20,92,6,2700,1018,310,NW,290,WNW
02/09/2015,12.8,1.8,3.7,5,Light,18,97,7,3000,1017,300,WNW,360,N
03/09/2015,10.9,0.2,0,9,Light,21,97,8,2900,1015,310,NW,310,NW
04/09/2015,13.2,1,3.6,10,Light,25,88,7,2500,1017,330,NNW,340,NNW
05/09/2015,12.2,tr,7.5,9,Light,26,95,4,2100,1023,360,N,360,N
06/09/2015,11.0,0,10.2,5,Light,18,100,1,2000,1028,280,W,250,WSW
07/09/2015,12.5,tr,6.3,4,Light,11,100,3,2100,1031,330,NNW,350,N
08/09/2015,10.5,tr,0,3,Light,8,99,8,800,1030,20,NNE,20,NNE
09/09/2015,13.1,0,0.1,4,Light,13,99,7,1900,1026,110,ESE,120,ESE
10/09/2015,12.9,0,7.5,6,Light,19,100,3,1500,1023,120,ESE,90,E
11/09/2015,12.7,5.6,8.4,7,Light,23,100,4,1300,1017,120,ESE,120,ESE
12/09/2015,14.2,2.6,3.6,8,Light,25,94,6,1200,1006,130,SE,260,W
13/09/2015,11.4,0,8.2,6,Light,17,99,4,1900,1006,160,SSE,140,SE
14/09/2015,9.3,21,0,4,Light,10,100,7,1100,995,10,N,10,N
15/09/2015,14.5,2,2.8,7,Light,19,98,7,1800,992,320,NW,250,WSW
16/09/2015,9.7,0,10.8,6,Light,15,100,2,2700,993,10,N,30,NNE
17/09/2015,11.1,0.2,3.1,7,Light,21,94,7,2700,997,280,W,270,W
18/09/2015,13.4,0.2,3.3,5,Light,18,97,6,1900,1012,10,N,360,N
19/09/2015,12.9,tr,9.4,3,Light,16,100,3,1600,1024,270,W,280,W
20/09/2015,10.6,0.8,1.9,5,Light,17,100,5,1200,1022,150,SSE,250,WSW
21/09/2015,13.9,2,2.1,7,Light,20,97,6,1600,1008,150,SSE,260,W
22/09/2015,10.0,0.2,4.5,5,Light,21,100,6,2400,1002,150,SSE,310,NW
23/09/2015,12.5,tr,4.7,8,Light,21,94,5,2400,1007,280,W,230,SW
24/09/2015,12.1,0.2,6.7,11,Moderate,27,92,4,2400,1009,230,SW,270,W
25/09/2015,12.1,0,5.4,7,Light,18,90,2,2600,1020,270,W,280,W
26/09/2015,9.5,0,0.1,3,Light,8,97,6,1500,1030,160,SSE,190,S
27/09/2015,10.2,0.2,5.9,5,Light,14,100,3,600,1035,170,S,160,SSE
28/09/2015,10.6,tr,4.1,5,Light,15,100,6,700,1038,170,S,170,S
29/09/2015,12.5,0,5,4,Light,9,100,6,700,1038,170,S,170,S
30/09/2015,11.4,0,8.7,4,Light,15,100,3,1400,1037,120,ESE,140,SE
01/10/2015,9.8,0.2,9.6,3,Light,10,100,2,1300,1034,190,S,210,SSW
02/10/2015,9.4,tr,5.3,4,Light,12,100,5,200,1026,150,SSE,160,SSE
03/10/2015,6.6,0.2,0,3,Light,9,100,8,200,1017,330,NNW,350,N
04/10/2015,9.6,0.2,4.4,3,Light,12,100,5,300,1014,280,W,180,S
05/10/2015,9.4,10.4,0,8,Light,24,100,7,300,1004,150,SSE,130,SE
06/10/2015,15.7,26.2,1.9,7,Light,17,99,8,1000,997,150,SSE,160,SSE
07/10/2015,13.9,9,0,7,Light,18,99,8,1200,1006,290,WNW,300,WNW
08/10/2015,10.1,0,6.4,4,Light,14,97,2,3400,1020,170,S,290,WNW
09/10/2015,9.0,0,6.8,3,Light,9,100,4,1500,1023,130,SE,190,S
10/10/2015,9.7,0.4,0.3,3,Light,11,100,7,900,1023,160,SSE,110,ESE
11/10/2015,9.5,0,1.3,4,Light,13,100,8,900,1021,330,NNW,120,ESE
12/10/2015,7.6,0.2,2.9,6,Light,23,100,4,1900,1022,320,NW,10,N
13/10/2015,9.0,0.2,0.9,6,Light,18,100,5,2000,1027,350,N,20,NNE
14/10/2015,8.3,0.2,5.5,6,Light,18,99,5,2300,1027,340,NNW,30,NNE
15/10/2015,8.8,1.4,0.1,7,Light,14,100,7,1200,1025,350,N,350,N
16/10/2015,10.8,tr,0.2,8,Light,17,96,8,1300,1026,340,NNW,30,NNE
17/10/2015,9.6,0.6,2,9,Light,23,93,7,1700,1024,340,NNW,20,NNE
18/10/2015,10.8,0.2,0,7,Light,16,99,8,1200,1024,360,N,20,NNE
19/10/2015,9.2,tr,6.3,3,Light,8,100,5,1200,1027,360,N,360,N
20/10/2015,9.2,15.8,4,6,Light,16,97,5,1900,1025,230,SW,290,WNW
21/10/2015,12.8,0,3.4,9,Light,28,95,6,2500,1012,190,S,260,W
22/10/2015,12.9,0,5.4,10,Light,41,84,4,2200,1013,260,W,310,NW
23/10/2015,6.9,0,0.9,8,Light,23,97,5,1800,1017,150,SSE,210,SSW
24/10/2015,9.2,tr,2,10,Light,22,90,5,1800,1011,160,SSE,310,NW
25/10/2015,7.3,0,1.1,7,Light,16,91,5,1200,1022,210,SSW,200,SSW
26/10/2015,8.5,0.2,4.5,7,Light,22,94,6,1100,1015,160,SSE,170,S
27/10/2015,9.8,0.8,0,4,Light,15,99,8,200,1011,130,SE,160,SSE
28/10/2015,12.0,7.8,0,3,Light,11,100,7,200,1006,150,SSE,150,SSE
29/10/2015,10.1,11.2,0,8,Light,25,100,8,1000,1009,150,SSE,160,SSE
30/10/2015,12.9,2,2.3,8,Light,21,99,7,900,1015,150,SSE,170,S
