Date,Daily Mean Temperature (0900-0900) (°C),Daily Total Rainfall (0900-0900) (mm),Daily Total Sunshine (0000-2400) (hrs),Daily Mean Windspeed (0000-2400) (kn),Daily Mean Windspeed (0000-2400) (Beaufort conversion),Daily Maximum Gust (0000-2400) (kn),Daily Maximum Relative Humidity  %,Daily Mean Total Cloud (oktas),Daily Mean Visibility (dam),Daily Mean Pressure (hPa),Daily Mean Wind Direction (o),Cardinal Direction,Daily Max Gust Corresponding Direction (o),Cardinal Direction
01/05/2015,3.8,tr,9.1,8,Light,23,82,3,3800,1014,90,E,80,E
02/05/2015,4.6,7.2,5.7,13,Moderate,26,98,6,3500,1013,120,ESE,120,ESE
03/05/2015,9.3,15.4,0,15,Moderate,34,100,8,1000,998,110,ESE,110,ESE
04/05/2015,11.0,3.8,8.6,10,Light,27,100,6,2600,996,250,WSW,250,WSW
05/05/2015,7.5,16,1.3,12,Moderate,31,100,7,1900,989,70,ENE,60,ENE
06/05/2015,9.4,1,2.1,7,Light,21,91,6,3800,992,220,SW,20,NNE
07/05/2015,6.8,tr,7.2,11,Moderate,25,91,4,4300,1011,280,W,270,W
08/05/2015,4.1,5.6,5,7,Light,17,99,4,3400,1014,110,ESE,110,ESE
09/05/2015,9.2,2,5.2,8,Light,15,100,6,2800,1012,30,NNE,90,E
10/05/2015,9.8,3,0.4,11,Moderate,39,100,8,2300,1014,220,SW,220,SW
11/05/2015,12.7,0.6,9.9,18,Fresh,40,89,4,3200,1006,220,SW,260,W
12/05/2015,11.5,tr,8.5,20,Fresh,40,75,4,3300,1007,250,WSW,240,WSW
13/05/2015,9.5,tr,9.6,10,Light,20,92,4,3800,1019,110,ESE,270,W
14/05/2015,9.1,0,0,8,Light,17,78,8,3500,1018,100,E,110,ESE
15/05/2015,7.4,0.6,6.4,11,Moderate,26,94,5,3300,1016,250,WSW,240,WSW
16/05/2015,9.6,0.2,12.2,16,Moderate,36,91,2,3300,1016,260,W,280,W
17/05/2015,9.9,0.8,9.9,16,Moderate,36,94,4,3100,1014,250,WSW,280,W
18/05/2015,10.0,2.4,2.6,8,Light,19,95,7,3800,998,220,SW,230,SW
19/05/2015,8.7,0.6,7.4,9,Light,26,97,4,4300,997,310,NW,300,WNW
20/05/2015,11.9,1,9.1,10,Light,22,79,7,4100,1012,300,WNW,290,WNW
21/05/2015,11.9,0.2,0.6,16,Moderate,30,91,8,2000,1019,260,W,260,W
22/05/2015,14.3,0,2.6,13,Moderate,31,91,5,3600,1020,260,W,260,W
23/05/2015,9.7,0.4,8.9,8,Light,22,95,4,2000,1023,250,WSW,250,WSW
24/05/2015,12.5,tr,3,14,Moderate,26,95,7,4200,1014,280,W,270,W
25/05/2015,12.4,0,7.7,8,Light,20,86,6,3000,1017,260,W,340,NNW
26/05/2015,11.2,0,8.9,10,Light,23,88,4,3900,1021,260,W,280,W
27/05/2015,8.9,8,0.2,10,Light,26,99,7,3300,1015,250,WSW,270,W
28/05/2015,9.4,tr,13,15,Moderate,33,99,4,4200,1005,270,W,260,W
29/05/2015,9.8,1.4,6.5,9,Light,28,92,6,3800,1002,260,W,270,W
30/05/2015,9.2,8,10.1,11,Moderate,27,95,3,4600,1007,250,WSW,280,W
31/05/2015,9.7,tr,7.1,14,Moderate,36,99,5,2800,999,270,W,270,W
01/06/2015,8.9,17.4,4.9,15,Moderate,33,96,5,2900,998,240,WSW,240,WSW
02/06/2015,9.6,1.2,9,22,Strong,46,94,5,3200,989,250,WSW,270,W
03/06/2015,11.3,0,13.4,13,Moderate,29,94,3,3900,1015,270,W,270,W
04/06/2015,8.5,0.2,1.1,6,Light,15,96,6,3000,1023,80,E,90,E
05/06/2015,13.4,0.4,3.8,10,Light,28,100,6,2500,1011,240,WSW,230,SW
06/06/2015,11.4,tr,7.7,23,Strong,52,81,4,3100,1010,230,SW,260,W
07/06/2015,12.0,tr,12.9,13,Moderate,30,87,3,4000,1027,250,WSW,290,WNW
08/06/2015,10.9,0.2,5.3,5,Light,16,93,7,4100,1036,150,SSE,120,ESE
09/06/2015,12.8,0,10.5,6,Light,15,93,5,4100,1035,270,W,160,SSE
10/06/2015,14.6,0,15.6,5,Light,14,100,1,3000,1030,260,W,210,SSW
11/06/2015,15.0,0,15.9,7,Light,16,99,1,3100,1021,140,SE,150,SSE
12/06/2015,9.4,0.4,6.2,8,Light,21,98,4,1700,1014,90,E,70,ENE
13/06/2015,9.8,0.4,0,10,Light,20,97,8,2900,1012,60,ENE,60,ENE
14/06/2015,10.7,0.2,1.7,6,Light,16,90,8,4000,1017,50,NE,50,NE
15/06/2015,9.6,1,3.4,5,Light,13,100,6,3600,1022,110,ESE,120,ESE
16/06/2015,14.6,tr,0.1,6,Light,20,100,8,2400,1021,260,W,250,WSW
