Date,Daily Mean Air Temperature,Rainfall (24 hour total),Daily Mean Pressure (hPa),Daily Mean Wind Speed,Daily Mean Windspeed (Beaufort conversion),
01/05/2015,15.8,0.0,1018,9.3,Light,
02/05/2015,16.4,0.0,1015,8.0,Light,
03/05/2015,16.1,7.0,1014,13.0,Moderate,
04/05/2015,9.7,6.6,1026,6.4,Light,
05/05/2015,12.0,0.2,1028,5.0,Light,
06/05/2015,13.8,0.0,1029,5.3,Light,
07/05/2015,14.0,0.0,1028,5.2,Light,
08/05/2015,15.2,0.0,1027,5.3,Light,
09/05/2015,15.0,0.0,1027,4.1,Light,
10/05/2015,16.5,0.0,1027,6.7,Light,
11/05/2015,18.0,0.0,1027,10.1,Light,
12/05/2015,17.3,0.0,1028,13.4,Moderate,
13/05/2015,18.2,0.0,1027,12.3,Moderate,
14/05/2015,20.1,0.0,1025,9.5,Light,
15/05/2015,22.2,0.0,1018,13.8,Moderate,
16/05/2015,13.6,35.0,1010,14.1,Moderate,
17/05/2015,14.9,102.0,1007,8.7,Light,
18/05/2015,15.2,38.0,1019,7.4,Light,
19/05/2015,12.0,0.6,1027,8.8,Light,
20/05/2015,12.6,0.2,1028,12.6,Moderate,
21/05/2015,14.3,0.0,1023,10.7,Light,
22/05/2015,13.4,0.0,1018,5.8,Light,
23/05/2015,13.9,0.0,1020,5.1,Light,
24/05/2015,14.2,0.0,1021,4.4,Light,
25/05/2015,14.2,0.0,1022,4.6,Light,
26/05/2015,13.1,0.0,1023,5.1,Light,
27/05/2015,11.4,0.0,1022,7.1,Light,
28/05/2015,12.2,0.0,1024,6.3,Light,
29/05/2015,13.9,0.0,1025,7.3,Light,
30/05/2015,13.0,0.0,1024,4.4,Light,
31/05/2015,13.4,0.0,1021,4.6,Light,
01/06/2015,15.5,1.0,1014,9.3,Light,
02/06/2015,16.1,9.8,1014,9.4,Light,
03/06/2015,16.9,8.0,1021,8.3,Light,
04/06/2015,15.9,2.0,1022,5.6,Light,
05/06/2015,16.0,0.0,1021,4.8,Light,
06/06/2015,13.7,0.0,1023,5.8,Light,
07/06/2015,12.9,0.0,1026,3.9,Light,
08/06/2015,14.8,0.0,1026,8.8,Light,
09/06/2015,16.9,0.0,1025,12.9,Moderate,
10/06/2015,18.0,0.0,1021,9.3,Light,
11/06/2015,17.7,0.0,1018,6.2,Light,
12/06/2015,15.1,0.0,1020,7.4,Light,
13/06/2015,13.2,0.0,1022,6.6,Light,
14/06/2015,12.7,0.0,1022,7.8,Light,
15/06/2015,13.8,0.0,1020,10.3,Light,
16/06/2015,17.1,0.0,1018,13.3,Moderate,
17/06/2015,15.9,0.4,1013,14.1,Moderate,
18/06/2015,17.0,28.0,1011,8.5,Light,
19/06/2015,18.5,30.4,1013,8.1,Light,
20/06/2015,17.5,34.2,1010,8.8,Light,
21/06/2015,12.3,63.0,1012,11.5,Moderate,
22/06/2015,8.8,16.0,1025,8.3,Light,
23/06/2015,9.2,0.0,1029,4.9,Light,
24/06/2015,12.0,0.0,1028,7.3,Light,
25/06/2015,12.7,0.0,1026,5.8,Light,
26/06/2015,14.5,0.0,1029,7.0,Light,
27/06/2015,13.2,0.0,1030,12.6,Moderate,
28/06/2015,14.0,0.0,1027,10.9,Light,
29/06/2015,14.8,0.0,1024,6.9,Light,
30/06/2015,16.3,0.0,1023,6.2,Light,
01/07/2015,15.8,2.4,1024,6.7,Light,
02/07/2015,15.6,6.0,1022,6.1,Light,
03/07/2015,15.0,2.0,1023,5.2,Light,
04/07/2015,15.0,4.2,1022,5.2,Light,
05/07/2015,13.1,3.4,1022,5.4,Light,
06/07/2015,14.9,7.6,1021,5.7,Light,
07/07/2015,13.9,15.0,1020,8.4,Light,
08/07/2015,8.2,4.0,1027,7.9,Light,
09/07/2015,10.3,0.0,1027,4.9,Light,
10/07/2015,9.9,1.0,1030,4.6,Light,
11/07/2015,9.5,0.2,1033,7.3,Light,
12/07/2015,11.0,0.0,1031,7.6,Light,
13/07/2015,11.9,0.0,1030,9.0,Light,
14/07/2015,13.2,0.0,1030,11.2,Moderate,
15/07/2015,13.1,0.0,1028,13.1,Moderate,
16/07/2015,14.5,0.0,1024,12.1,Moderate,
17/07/2015,15.6,0.4,1022,6.9,Light,
18/07/2015,16.0,0.2,1021,5.5,Light,
19/07/2015,15.5,12.2,1013,9.3,Light,
20/07/2015,13.6,38.4,1009,8.3,Light,
21/07/2015,11.1,10.0,1018,5.1,Light,
22/07/2015,12.7,8.0,1017,7.8,Light,
23/07/2015,9.1,9.0,1024,6.1,Light,
24/07/2015,11.7,0.0,1027,5.7,Light,
25/07/2015,10.3,0.2,1029,5.0,Light,
26/07/2015,12.1,0.0,1031,8.4,Light,
27/07/2015,15.5,0.0,1025,8.5,Light,
28/07/2015,13.2,15.4,1017,9.4,Light,
29/07/2015,16.9,9.8,1019,5.8,Light,
30/07/2015,17.3,18.6,1017,10.1,Light,
31/07/2015,16.3,16.2,1014,8.4,Light,
01/08/2015,10.9,0.4,1028,9.4,Light,
02/08/2015,10.2,0.0,1034,6.6,Light,
03/08/2015,12.3,0.0,1033,6.5,Light,
04/08/2015,12.2,0.0,1031,7.4,Light,
05/08/2015,13.0,0.0,1026,10.9,Light,
06/08/2015,14.9,0.2,1018,8.6,Light,
07/08/2015,12.9,2.4,1014,5.8,Light,
08/08/2015,9.0,20.0,1017,9.1,Light,
09/08/2015,9.9,7.8,1022,4.9,Light,
10/08/2015,13.7,15.0,1022,9.9,Light,
11/08/2015,11.3,4.0,1029,6.7,Light,
12/08/2015,14.5,0.0,1029,4.9,Light,
13/08/2015,12.9,0.0,1026,4.7,Light,
14/08/2015,16.1,0.0,1022,6.3,Light,
15/08/2015,19.5,0.0,1020,7.4,Light,
16/08/2015,18.0,3.0,1021,5.8,Light,
17/08/2015,16.4,13.0,1016,7.6,Light,
18/08/2015,15.3,4.6,1016,8.1,Light,
19/08/2015,15.0,32.0,1010,10.1,Light,
20/08/2015,13.7,28.0,1014,8.4,Light,
21/08/2015,10.2,63.0,1013,7.3,Light,
22/08/2015,12.0,22.0,1022,6.0,Light,
23/08/2015,12.5,0.0,1029,6.9,Light,
24/08/2015,13.0,0.0,1028,12.1,Moderate,
25/08/2015,13.9,0.0,1024,10.9,Light,
26/08/2015,15.6,0.0,1020,9.7,Light,
27/08/2015,17.6,0.0,1015,8.8,Light,
28/08/2015,16.0,3.0,1015,6.8,Light,
29/08/2015,16.3,13.0,1014,8.6,Light,
30/08/2015,12.7,12.6,1020,6.9,Light,
31/08/2015,11.9,9.0,1019,10.3,Light,
01/09/2015,9.6,4.0,1025,9.1,Light,
02/09/2015,11.8,0.0,1025,7.8,Light,
03/09/2015,12.7,0.0,1020,6.8,Light,
04/09/2015,15.5,14.0,1017,7.6,Light,
05/09/2015,12.3,15.8,1024,8.8,Light,
06/09/2015,12.3,0.6,1028,6.2,Light,
07/09/2015,16.3,0.0,1025,6.8,Light,
08/09/2015,19.1,0.0,1021,9.1,Light,
09/09/2015,22.5,0.0,1015,10.4,Light,
10/09/2015,14.2,25.0,1017,7.8,Light,
11/09/2015,16.7,16.4,1016,12.5,Moderate,
12/09/2015,11.2,23.2,1018,9.9,Light,
